,Players,Values,Team
306,Vitezslav Jaros,€5.00m,fc liverpool
307,Harvey Davies,€500k,fc liverpool
308,Ibrahima Konaté,€50.00m,fc liverpool
309,Joe Gomez,€28.00m,fc liverpool
310,Virgil van Dijk,€28.00m,fc liverpool
311,Jarell Quansah,€22.00m,fc liverpool
312,Andrew Robertson,€25.00m,fc liverpool
313,Konstantinos Tsimikas,€20.00m,fc liverpool
314,Trent Alexander-Arnold,€75.00m,fc liverpool
315,Conor Bradley,€20.00m,fc liverpool
316,Ryan Gravenberch,€55.00m,fc liverpool
317,Wataru Endo,€12.00m,fc liverpool
318,Tyler Morton,€8.00m,fc liverpool
319,Alexis Mac Allister,€80.00m,fc liverpool
320,Dominik Szoboszlai,€75.00m,fc liverpool
321,Curtis Jones,€45.00m,fc liverpool
322,Harvey Elliott,€35.00m,fc liverpool
323,Luis Díaz,€85.00m,fc liverpool
324,Cody Gakpo,€60.00m,fc liverpool
325,Mohamed Salah,€55.00m,fc liverpool
326,Federico Chiesa,€22.00m,fc liverpool
327,Darwin Núñez,€65.00m,fc liverpool
328,Diogo Jota,€50.00m,fc liverpool
329,Ederson,€30.00m,manchester city
330,Stefan Ortega,€9.00m,manchester city
331,Scott Carson,€200k,manchester city
332,Rúben Dias,€75.00m,manchester city
333,Manuel Akanji,€40.00m,manchester city
334,Nathan Aké,€35.00m,manchester city
335,John Stones,€32.00m,manchester city
336,Vitor Reis,€14.00m,manchester city
337,Abdukodir Khusanov,€12.00m,manchester city
338,Jahmai Simpson-Pusey,€2.00m,manchester city
339,Josko Gvardiol,€75.00m,manchester city
340,Rico Lewis,€40.00m,manchester city
341,Kyle Walker,€10.00m,manchester city
342,Rodri,€130.00m,manchester city
343,Matheus Nunes,€40.00m,manchester city
344,Mateo Kovacic,€28.00m,manchester city
345,İlkay Gündoğan,€10.00m,manchester city
346,Bernardo Silva,€60.00m,manchester city
347,Kevin De Bruyne,€35.00m,manchester city
348,Claudio Echeverri,€18.00m,manchester city
349,James McAtee,€14.00m,manchester city
350,Jérémy Doku,€60.00m,manchester city
351,Jack Grealish,€45.00m,manchester city
352,Phil Foden,€140.00m,manchester city
353,Savinho,€55.00m,manchester city
354,Oscar Bobb,€25.00m,manchester city
355,Erling Haaland,€200.00m,manchester city
356,Omar Marmoush,€60.00m,manchester city
357,André Onana,€35.00m,manchester united
358,Altay Bayındır,€10.00m,manchester united
359,Tom Heaton,€250k,manchester united
360,Leny Yoro,€55.00m,manchester united
361,Lisandro Martínez,€50.00m,manchester united
362,Matthijs de Ligt,€45.00m,manchester united
363,Harry Maguire,€15.00m,manchester united
364,Victor Lindelöf,€10.00m,manchester united
365,Jonny Evans,€1.50m,manchester united
366,Luke Shaw,€20.00m,manchester united
