Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
253,Héctor Bellerín,es ESP,DF,Betis,es La Liga,29-317,1995,5.8,0,1,1,100.0,0.17,0.17,0.00,0.00,14.6,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches
254,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,21-215,2003,15.7,7,29,11,37.9,1.85,0.70,0.21,0.55,17.7,0,1,2,6.6,5.0,0.17,+0.4,+1.0,Matches
255,Jeanuël Belocian,fr FRA,"DF,MF",Leverkusen,de Bundesliga,19-348,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
256,Andrea Belotti,it ITA,FW,Como,it Serie A,31-041,1993,6.6,2,19,3,15.8,2.88,0.46,0.11,0.67,12.7,0,0,0,2.5,2.5,0.13,-0.5,-0.5,Matches
257,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,25-362,1999,14.5,1,11,1,9.1,0.76,0.07,0.09,1.00,24.9,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
258,Lucas Beltrán,ar ARG,"MF,FW",Fiorentina,it Serie A,23-307,2001,11.3,4,18,4,22.2,1.59,0.35,0.11,0.50,16.8,0,2,2,3.9,2.4,0.13,+0.1,-0.4,Matches
259,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,fr Ligue 1,19-349,2005,13.6,5,44,16,36.4,3.24,1.18,0.07,0.19,21.5,3,2,2,4.6,3.2,0.07,+0.4,-0.2,Matches
260,Carlos Benavídez,uy URU,MF,Alavés,es La Liga,26-306,1998,3.5,1,3,1,33.3,0.85,0.28,0.33,1.00,25.1,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
261,Adrian Benedyczak,pl POL,"FW,MF",Parma,it Serie A,24-067,2000,2.2,0,3,0,0.0,1.37,0.00,0.00,,18.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
262,László Bénes,sk SVK,"MF,FW",Union Berlin,de Bundesliga,27-143,1997,3.2,1,8,5,62.5,2.49,1.56,0.13,0.20,23.7,1,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
