Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1102,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,27-302,1997,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0,Matches
1103,Juan Jesus,br BRA,DF,Napoli,it Serie A,33-234,1991,6.9,0,1,0,0.0,0.15,0.00,0.00,,5.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
1104,Alejandro Jiménez,es ESP,"FW,DF",Milan,it Serie A,19-267,2005,4.1,0,6,3,50.0,1.46,0.73,0.00,0.00,24.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
1105,Raúl Jiménez,mx MEX,FW,Fulham,eng Premier League,33-270,1991,16.1,8,53,19,35.8,3.29,1.18,0.09,0.26,14.6,0,3,3,8.2,5.8,0.11,-0.2,-0.8,Matches
1106,Kim Jisoo,kr KOR,DF,Brentford,eng Premier League,20-037,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1107,João Pedro,br BRA,"FW,MF",Brighton,eng Premier League,23-126,2001,14.4,5,29,12,41.4,2.02,0.83,0.14,0.33,16.3,0,1,1,3.9,3.1,0.11,+1.1,+0.9,Matches
1108,John Joe,ie IRL,"MF,FW",Getafe,es La Liga,21-098,2003,0.5,0,2,0,0.0,3.75,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
1109,John Joe,ie IRL,MF,Reims,fr Ligue 1,21-098,2003,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1110,Joelinton,br BRA,"MF,FW",Newcastle Utd,eng Premier League,28-169,1996,20.6,4,39,11,28.2,1.90,0.53,0.10,0.36,13.9,0,0,0,3.7,3.7,0.09,+0.3,+0.3,Matches
1111,Jofre,es ESP,"MF,FW",Espanyol,es La Liga,23-227,2001,14.4,2,30,6,20.0,2.08,0.42,0.07,0.33,19.4,0,0,0,2.2,2.2,0.07,-0.2,-0.2,Matches
1112,Þórir Jóhann Helgason,is ISL,MF,Lecce,it Serie A,24-124,2000,2.9,0,3,1,33.3,1.05,0.35,0.00,0.00,20.3,1,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
1113,Carl Johansson,se SWE,DF,Holstein Kiel,de Bundesliga,30-252,1994,4.1,0,1,1,100.0,0.25,0.25,0.00,0.00,10.8,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
1114,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,eng Premier League,25-006,2000,9.2,0,3,2,66.7,0.33,0.22,0.00,0.00,14.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
1115,Brennan Johnson,wls WAL,FW,Tottenham,eng Premier League,23-252,2001,16.6,7,45,16,35.6,2.71,0.97,0.16,0.44,11.7,0,0,0,8.0,8.0,0.18,-1.0,-1.0,Matches
1116,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-002,1990,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1117,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,31-311,1993,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1118,Paul Joly,fr FRA,DF,Auxerre,fr Ligue 1,24-237,2000,7.2,0,8,4,50.0,1.10,0.55,0.00,0.00,17.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
1119,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,24-000,2001,10.0,3,19,10,52.6,1.91,1.00,0.16,0.30,15.6,0,0,0,2.9,2.9,0.15,+0.1,+0.1,Matches
1120,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,27-263,1997,4.0,2,4,3,75.0,1.01,0.76,0.50,0.67,18.4,0,0,0,0.6,0.6,0.16,+1.4,+1.4,Matches
1121,Joan Jordán,es ESP,MF,Alavés,es La Liga,30-208,1994,7.1,2,8,2,25.0,1.12,0.28,0.13,0.50,22.7,3,1,1,2.2,1.4,0.17,-0.2,-0.4,Matches
1122,Jorginho,it ITA,MF,Arsenal,eng Premier League,33-041,1991,5.1,0,1,0,0.0,0.20,0.00,0.00,,22.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
1123,Jesse Joronen,fi FIN,GK,Venezia,it Serie A,31-315,1993,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1124,Jota,pt POR,"FW,MF",Rennes,fr Ligue 1,25-306,1999,3.7,1,4,2,50.0,1.08,0.54,0.25,0.50,9.7,0,0,0,1.3,1.3,0.33,-0.3,-0.3,Matches
1125,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,28-057,1996,7.0,5,25,10,40.0,3.58,1.43,0.20,0.50,12.3,0,0,0,4.9,4.9,0.19,+0.1,+0.1,Matches
1126,Antoine Joujou,fr FRA,"MF,FW",Le Havre,fr Ligue 1,21-324,2003,6.5,0,8,1,12.5,1.23,0.15,0.00,0.00,20.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
1127,Luka Jović,rs SRB,FW,Milan,it Serie A,27-038,1997,1.2,0,2,0,0.0,1.73,0.00,0.00,,11.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
1128,Juanmi,es ESP,"FW,MF",Betis,es La Liga,31-255,1993,2.7,0,6,1,16.7,2.21,0.37,0.00,0.00,14.1,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
1129,Juanpe,es ESP,DF,Girona,es La Liga,33-275,1991,4.6,0,1,0,0.0,0.22,0.00,0.00,,32.7,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches
1130,Jubal,br BRA,DF,Auxerre,fr Ligue 1,31-154,1993,15.4,1,14,4,28.6,0.91,0.26,0.00,0.00,16.4,1,1,2,2.4,0.8,0.06,-1.4,-0.8,Matches
1131,Anthony Jung,de GER,DF,Werder Bremen,de Bundesliga,33-088,1991,14.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1132,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24-016,2001,6.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1133,Hamed Junior Traorè,ci CIV,"MF,FW",Auxerre,fr Ligue 1,24-349,2000,14.8,8,43,15,34.9,2.90,1.01,0.19,0.53,18.8,2,0,0,4.9,4.9,0.12,+3.1,+3.1,Matches
1134,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,24-202,2000,13.1,8,41,12,29.3,3.14,0.92,0.15,0.50,18.0,0,2,2,5.9,4.6,0.11,+2.1,+1.4,Matches
1135,Josip Juranović,hr CRO,DF,Union Berlin,de Bundesliga,29-167,1995,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1136,David Jurásek,cz CZE,DF,Hoffenheim,de Bundesliga,24-176,2000,2.8,0,4,1,25.0,1.41,0.35,0.00,0.00,29.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
1137,Stanko Jurić,hr CRO,MF,Valladolid,es La Liga,28-167,1996,13.5,0,4,1,25.0,0.30,0.07,0.00,0.00,10.7,0,0,0,0.7,0.7,0.18,-0.7,-0.7,Matches
1138,James Justin,eng ENG,DF,Leicester City,eng Premier League,26-342,1998,21.1,2,21,6,28.6,0.99,0.28,0.10,0.33,15.5,1,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
1139,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,22-289,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1140,Mohamed Kaba,fr FRA,MF,Lecce,it Serie A,23-095,2001,2.2,0,3,0,0.0,1.34,0.00,0.00,,11.9,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
1141,Yusuf Kabadayı,de GER,"FW,MF",Augsburg,de Bundesliga,20-363,2004,0.8,1,4,1,25.0,5.07,1.27,0.25,1.00,19.7,0,0,0,0.6,0.6,0.16,+0.4,+0.4,Matches
1142,Almugera Kabar,de GER,DF,Dortmund,de Bundesliga,18-238,2006,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1143,Christian Kabasele,be BEL,DF,Udinese,it Serie A,33-341,1991,10.2,1,14,3,21.4,1.38,0.29,0.07,0.33,12.8,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
1144,Issa Kaboré,bf BFA,"FW,DF",Werder Bremen,de Bundesliga,23-263,2001,1.0,0,2,0,0.0,2.00,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1145,Yaya Kader Fofana,ml MLI,"MF,FW",Reims,fr Ligue 1,20-232,2004,7.0,1,13,4,30.8,1.85,0.57,0.08,0.25,20.1,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
1146,Pavel Kadeřábek,cz CZE,DF,Hoffenheim,de Bundesliga,32-280,1992,8.4,0,5,1,20.0,0.59,0.12,0.00,0.00,15.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
1147,Tino Kadewere,zw ZIM,"MF,FW",Nantes,fr Ligue 1,29-025,1996,5.3,1,7,5,71.4,1.33,0.95,0.14,0.20,16.0,0,0,0,1.6,1.6,0.22,-0.6,-0.6,Matches
1148,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,eng Premier League,25-115,1999,4.3,1,4,1,25.0,0.94,0.23,0.25,1.00,15.1,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
1149,Arnaud Kalimuendo,fr FRA,FW,Rennes,fr Ligue 1,23-010,2002,15.6,8,28,11,39.3,1.80,0.71,0.14,0.36,17.7,0,4,5,6.7,3.2,0.11,+1.3,+0.8,Matches
1150,Pierre Kalulu,fr FRA,DF,Juventus,it Serie A,24-239,2000,18.0,1,6,2,33.3,0.33,0.11,0.17,0.50,10.7,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches
1151,Daichi Kamada,jp JPN,MF,Crystal Palace,eng Premier League,28-178,1996,9.7,0,13,4,30.8,1.34,0.41,0.00,0.00,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
1152,Waren Kamanzi,no NOR,"DF,MF",Toulouse,fr Ligue 1,24-080,2000,7.6,0,2,0,0.0,0.26,0.00,0.00,,15.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
1153,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,25-068,1999,10.5,0,4,1,25.0,0.38,0.10,0.00,0.00,19.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
1154,Glen Kamara,fi FIN,MF,Rennes,fr Ligue 1,29-094,1995,7.4,0,1,0,0.0,0.14,0.00,0.00,,16.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
1155,Hassane Kamara,ci CIV,DF,Udinese,it Serie A,30-331,1994,10.0,1,10,3,30.0,1.00,0.30,0.10,0.33,20.2,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
1156,Willy Kambwala,fr FRA,DF,Villarreal,es La Liga,20-158,2004,3.6,0,2,1,50.0,0.56,0.28,0.00,0.00,11.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
1157,Jakub Kamiński,pl POL,"DF,MF",Wolfsburg,de Bundesliga,22-239,2002,8.0,0,7,1,14.3,0.87,0.12,0.00,0.00,17.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
1158,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,34-113,1990,11.7,1,5,2,40.0,0.43,0.17,0.20,0.50,18.7,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches
1159,Nordine Kandil,fr FRA,MF,Strasbourg,fr Ligue 1,23-091,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1160,Harry Kane,eng ENG,FW,Bayern Munich,de Bundesliga,31-186,1993,15.3,17,58,24,41.4,3.79,1.57,0.17,0.42,16.0,3,7,7,13.1,7.7,0.13,+3.9,+2.3,Matches
1161,Lee Kang-in,kr KOR,"FW,MF",Paris S-G,fr Ligue 1,23-346,2001,12.4,6,31,12,38.7,2.50,0.97,0.19,0.50,18.1,0,0,0,2.8,2.8,0.09,+3.2,+3.2,Matches
1162,Yann Karamoh,fr FRA,"MF,FW",Torino,it Serie A,26-206,1998,7.2,0,20,5,25.0,2.79,0.70,0.00,0.00,17.2,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
1163,Atakan Karazor,,MF,Stuttgart,de Bundesliga,28-109,1996,15.5,1,6,2,33.3,0.39,0.13,0.17,0.50,18.8,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
1164,Jesper Karlsson,se SWE,FW,Bologna,it Serie A,26-189,1998,3.3,1,6,2,33.3,1.81,0.60,0.17,0.50,20.3,1,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches
1165,Jesper Karlsson,se SWE,"FW,MF",Lecce,it Serie A,26-189,1998,0.4,0,2,1,50.0,4.86,2.43,0.00,0.00,15.7,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
1166,Jesper Karlström,se SWE,MF,Udinese,it Serie A,29-223,1995,20.6,0,9,0,0.0,0.44,0.00,0.00,,19.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
1167,Lior Kasa,il ISR,"MF,FW",Genoa,it Serie A,19-125,2005,1.7,0,4,2,50.0,2.32,1.16,0.00,0.00,19.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
1168,Grigoris Kastanos,cy CYP,"MF,FW",Hellas Verona,it Serie A,27-000,1998,7.0,1,13,4,30.8,1.87,0.57,0.08,0.25,24.0,1,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
1169,Mikkel Kaufmann,dk DEN,FW,Heidenheim,de Bundesliga,24-027,2001,4.1,0,3,3,100.0,0.73,0.73,0.00,0.00,14.6,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Matches
1170,Michael Kayode,it ITA,"DF,FW",Fiorentina,it Serie A,20-204,2004,1.4,0,1,0,0.0,0.71,0.00,0.00,,11.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
1171,Moise Kean,it ITA,FW,Fiorentina,it Serie A,24-337,2000,18.5,12,64,25,39.1,3.46,1.35,0.17,0.44,14.3,0,1,2,11.8,10.3,0.16,+0.2,+0.7,Matches
1172,Michael Keane,eng ENG,DF,Everton,eng Premier League,32-019,1993,9.0,2,8,3,37.5,0.89,0.33,0.25,0.67,14.8,0,0,0,0.4,0.4,0.05,+1.6,+1.6,Matches
1173,Yassine Kechta,ma MAR,"MF,FW",Le Havre,fr Ligue 1,22-340,2002,11.5,0,14,5,35.7,1.22,0.43,0.00,0.00,27.3,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
1174,Thilo Kehrer,de GER,DF,Monaco,fr Ligue 1,28-131,1996,16.0,3,7,6,85.7,0.44,0.37,0.43,0.50,8.2,0,0,0,1.1,1.1,0.16,+1.9,+1.9,Matches
1175,Abdoulaye Keita,es ESP,"FW,MF",Getafe,es La Liga,22-151,2002,0.9,0,2,0,0.0,2.20,0.00,0.00,,25.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1176,Mandela Keita,be BEL,MF,Parma,it Serie A,22-265,2002,6.3,0,1,0,0.0,0.16,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1177,Yannik Keitel,de GER,"MF,DF",Stuttgart,de Bundesliga,24-350,2000,1.5,0,3,1,33.3,2.05,0.68,0.00,0.00,18.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
1178,Andu Kelati,de GER,"MF,DF",Holstein Kiel,de Bundesliga,22-170,2002,2.6,1,6,3,50.0,2.33,1.16,0.17,0.33,13.3,0,0,0,0.9,0.9,0.14,+0.1,+0.1,Matches
1179,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,26-068,1998,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1180,Thomas Keller,de GER,"DF,MF",Heidenheim,de Bundesliga,25-178,1999,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1181,Lloyd Kelly,eng ENG,DF,Newcastle Utd,eng Premier League,26-116,1998,3.3,0,2,0,0.0,0.60,0.00,0.00,,5.8,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches
1182,Aljoscha Kemlein,de GER,MF,Union Berlin,de Bundesliga,20-181,2004,10.2,1,11,3,27.3,1.07,0.29,0.09,0.33,17.4,1,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
1183,Marc-Oliver Kempf,de GER,DF,Como,it Serie A,30-002,1995,18.6,0,12,1,8.3,0.64,0.05,0.00,0.00,12.0,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
1184,Kenedy,br BRA,"MF,FW",Valladolid,es La Liga,28-357,1996,0.1,0,1,0,0.0,10.00,0.00,0.00,,7.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1185,Luca Kerber,de GER,MF,Heidenheim,de Bundesliga,22-326,2002,4.7,1,5,3,60.0,1.07,0.64,0.20,0.33,14.7,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
1186,Milos Kerkez,hu HUN,DF,Bournemouth,eng Premier League,21-084,2003,22.2,2,13,3,23.1,0.59,0.14,0.15,0.67,20.9,0,0,0,0.4,0.4,0.03,+1.6,+1.6,Matches
1187,Reda Khadra,de GER,"MF,FW",Reims,fr Ligue 1,23-210,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1188,Bilal El Khannouss,ma MAR,MF,Leicester City,eng Premier League,20-265,2004,11.2,2,12,3,25.0,1.07,0.27,0.17,0.67,24.4,0,0,0,0.5,0.5,0.04,+1.5,+1.5,Matches
1189,Wahbi Khazri,tn TUN,"FW,MF",Montpellier,fr Ligue 1,33-357,1991,9.1,1,23,5,21.7,2.54,0.55,0.04,0.20,24.5,4,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
1190,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,31-003,1994,15.6,0,5,0,0.0,0.32,0.00,0.00,,18.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
1191,Abdukodir Khusanov,uz UZB,DF,Manchester City,eng Premier League,20-336,2004,0.6,0,1,0,0.0,1.70,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1192,Abdukodir Khusanov,uz UZB,DF,Lens,fr Ligue 1,20-336,2004,10.8,0,6,4,66.7,0.55,0.37,0.00,0.00,24.6,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
1193,Kialonda,ao ANG,DF,Lecce,it Serie A,27-125,1997,15.0,0,10,0,0.0,0.67,0.00,0.00,,7.9,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
1194,Kiké,es ESP,FW,Alavés,es La Liga,35-066,1989,14.1,9,30,13,43.3,2.12,0.92,0.23,0.54,16.0,0,2,2,5.2,3.6,0.12,+3.8,+3.4,Matches
1195,Max Kilman,eng ENG,DF,West Ham,eng Premier League,27-252,1997,22.2,0,10,2,20.0,0.45,0.09,0.00,0.00,7.9,0,0,0,1.4,1.4,0.14,-1.4,-1.4,Matches
1196,Joshua Kimmich,de GER,"MF,DF",Bayern Munich,de Bundesliga,29-357,1995,19.0,1,21,6,28.6,1.11,0.32,0.05,0.17,23.7,3,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
1197,Joshua King,eng ENG,"MF,FW",Fulham,eng Premier League,18-027,2007,0.9,0,1,0,0.0,1.13,0.00,0.00,,5.3,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches
1198,Joshua King,no NOR,"FW,MF",Toulouse,fr Ligue 1,33-015,1992,12.3,4,32,14,43.8,2.60,1.14,0.13,0.29,16.0,0,0,0,4.4,4.4,0.14,-0.4,-0.4,Matches
1199,Antonín Kinský,cz CZE,GK,Tottenham,eng Premier League,21-323,2003,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1200,Cédric Kipré,ci CIV,DF,Reims,fr Ligue 1,28-052,1996,13.8,0,5,1,20.0,0.36,0.07,0.00,0.00,15.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
1201,Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,24-350,2000,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1202,Tim Kleindienst,de GER,FW,Gladbach,de Bundesliga,29-152,1995,17.7,11,53,25,47.2,3.00,1.42,0.19,0.40,13.7,0,1,2,9.3,7.6,0.14,+1.7,+2.4,Matches
1203,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,28-241,1996,11.9,0,2,0,0.0,0.17,0.00,0.00,,20.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
1204,Justin Kluivert,nl NED,"MF,FW",Bournemouth,eng Premier League,25-270,1999,16.0,11,40,18,45.0,2.50,1.13,0.13,0.28,20.8,0,6,6,8.1,3.4,0.09,+2.9,+1.6,Matches
1205,Ansgar Knauff,de GER,"MF,DF",Eint Frankfurt,de Bundesliga,23-020,2002,10.0,1,16,3,18.8,1.60,0.30,0.06,0.33,17.0,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
1206,Magnus Knudsen,no NOR,MF,Holstein Kiel,de Bundesliga,23-229,2001,12.7,0,5,1,20.0,0.39,0.08,0.00,0.00,25.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
1207,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-055,1997,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1208,Robin Koch,de GER,DF,Eint Frankfurt,de Bundesliga,28-197,1996,18.8,1,8,3,37.5,0.43,0.16,0.13,0.33,14.0,1,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
1209,Hervé Koffi,bf BFA,GK,Lens,fr Ligue 1,28-106,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1210,Magnus Kofod Andersen,dk DEN,MF,Venezia,it Serie A,25-265,1999,7.7,1,8,2,25.0,1.04,0.26,0.13,0.50,25.0,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
1211,Derrick Köhn,de GER,"DF,FW",Werder Bremen,de Bundesliga,25-361,1999,11.8,2,11,4,36.4,0.93,0.34,0.18,0.50,15.2,0,0,0,0.7,0.7,0.06,+1.3,+1.3,Matches
1212,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,26-303,1998,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1213,Dominik Kohr,de GER,"DF,MF",Mainz 05,de Bundesliga,30-365,1994,17.6,0,10,2,20.0,0.57,0.11,0.00,0.00,23.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
1214,Koka,eg EGY,FW,Le Havre,fr Ligue 1,31-331,1993,0.8,0,2,0,0.0,2.50,0.00,0.00,,12.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
1215,Koke,es ESP,MF,Atlético Madrid,es La Liga,33-022,1992,13.9,1,7,3,42.9,0.50,0.22,0.14,0.33,19.5,0,0,0,1.0,1.0,0.14,0.0,0.0,Matches
1216,Sead Kolašinac,ba BIH,DF,Atalanta,it Serie A,31-224,1993,14.4,0,8,2,25.0,0.56,0.14,0.00,0.00,14.3,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
1217,Randal Kolo Muani,fr FRA,FW,Juventus,it Serie A,26-056,1998,0.9,1,1,1,100.0,1.11,1.11,1.00,1.00,9.4,0,0,0,0.3,0.3,0.32,+0.7,+0.7,Matches
1218,Randal Kolo Muani,fr FRA,FW,Paris S-G,fr Ligue 1,26-056,1998,4.0,2,15,6,40.0,3.77,1.51,0.07,0.17,11.8,0,1,1,4.7,3.9,0.26,-2.7,-2.9,Matches
1219,Marco Komenda,hr CRO,DF,Holstein Kiel,de Bundesliga,28-065,1996,5.8,0,2,0,0.0,0.34,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1220,Mert Kömür,de GER,MF,Augsburg,de Bundesliga,19-197,2005,2.3,0,4,2,50.0,1.76,0.88,0.00,0.00,23.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
1221,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,25-250,1999,14.5,1,11,2,18.2,0.76,0.14,0.09,0.50,11.2,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches
1222,Ismael Konate,ci CIV,"FW,DF",Empoli,it Serie A,18-307,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1223,Geoffrey Kondogbia,cf CTA,"DF,MF",Marseille,fr Ligue 1,31-350,1993,12.2,0,3,0,0.0,0.25,0.00,0.00,,17.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
1224,Abdoul Koné,fr FRA,DF,Reims,fr Ligue 1,19-283,2005,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1225,Amadou Koné,ml MLI,MF,Reims,fr Ligue 1,19-261,2005,5.9,0,5,1,20.0,0.85,0.17,0.00,0.00,25.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
1226,Ismaël Koné,ca CAN,"MF,FW",Marseille,fr Ligue 1,22-238,2002,4.0,0,4,0,0.0,1.00,0.00,0.00,,22.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
1227,Manu Koné,fr FRA,MF,Roma,it Serie A,23-258,2001,16.4,2,21,6,28.6,1.28,0.37,0.10,0.33,20.0,0,0,0,1.4,1.4,0.07,+0.6,+0.6,Matches
1228,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,27-099,1997,20.1,1,5,2,40.0,0.25,0.10,0.20,0.50,9.1,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches
1229,Teun Koopmeiners,nl NED,"MF,FW",Juventus,it Serie A,26-337,1998,15.3,1,28,7,25.0,1.83,0.46,0.04,0.14,17.4,0,0,0,2.9,2.9,0.10,-1.9,-1.9,Matches
1230,Odilon Kossounou,ci CIV,DF,Atalanta,it Serie A,24-026,2001,8.0,0,6,4,66.7,0.75,0.50,0.00,0.00,17.5,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
1231,Christian Kouamé,ci CIV,"FW,MF",Fiorentina,it Serie A,27-055,1997,6.8,0,10,1,10.0,1.47,0.15,0.00,0.00,14.5,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
1232,Henri Koudossou,de GER,DF,Augsburg,de Bundesliga,25-149,1999,6.6,0,2,0,0.0,0.30,0.00,0.00,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1233,Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,de Bundesliga,21-063,2003,15.1,0,13,2,15.4,0.86,0.13,0.00,0.00,16.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
