Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
683,Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,21-190,2003,15.8,803,751,49,24,2,2,1,3,0,0,0,0,695,3,7,Matches
684,Issa Doumbia,ci CIV,MF,Venezia,it Serie A,21-106,2003,4.9,128,126,1,1,0,0,5,0,0,0,0,0,95,1,6,Matches
685,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,21-347,2003,8.5,399,358,37,12,3,1,31,1,17,8,9,0,317,4,3,Matches
686,Amidou Doumbouya,fr FRA,DF,Nice,fr Ligue 1,17-178,2007,0.5,25,24,1,0,0,0,2,1,0,0,0,0,19,0,2,Matches
687,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,25-181,1999,7.5,106,85,20,0,0,0,1,0,0,0,0,0,75,1,6,Matches
688,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,27-223,1997,18.3,302,269,30,0,1,0,0,1,0,0,0,0,222,3,7,Matches
689,Flynn Downes,eng ENG,MF,Southampton,eng Premier League,26-010,1999,15.9,788,763,24,24,6,1,2,0,0,0,0,0,714,1,9,Matches
690,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,23-105,2001,4.9,352,316,32,19,0,6,13,3,9,6,3,0,287,4,7,Matches
691,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,22-362,2002,13.9,840,793,47,40,1,3,1,3,0,0,0,0,716,0,5,Matches
692,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,31-361,1993,19.0,794,551,241,78,0,0,0,0,0,0,0,0,520,2,1,Matches
693,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,19-330,2005,4.0,180,173,7,4,1,2,1,3,0,0,0,0,153,0,3,Matches
694,Domingos Duarte,pt POR,DF,Getafe,es La Liga,29-326,1995,6.0,201,197,4,4,0,0,0,0,0,0,0,0,167,0,0,Matches
695,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,36-015,1989,8.0,260,193,67,22,0,1,0,0,0,0,0,0,208,0,0,Matches
696,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,30-329,1994,17.3,589,425,160,34,4,8,118,5,78,31,35,0,365,4,14,Matches
697,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,30-056,1994,13.9,669,595,73,28,3,11,43,2,35,13,18,0,534,1,4,Matches
698,Denzel Dumfries,nl NED,"DF,FW",Inter,it Serie A,28-287,1996,12.8,472,386,84,4,0,3,36,80,0,0,0,0,351,2,13,Matches
699,Alfred Duncan,gh GHA,MF,Venezia,it Serie A,31-326,1993,8.8,448,414,31,15,4,4,16,2,11,1,7,0,364,3,6,Matches
700,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33-070,1991,16.4,1387,1280,104,51,1,6,2,7,0,0,0,0,1266,3,7,Matches
701,Jhon Durán,co COL,FW,Aston Villa,eng Premier League,21-048,2003,7.1,163,155,7,0,2,0,3,0,0,0,0,0,115,1,4,Matches
702,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,23-250,2001,6.0,159,153,6,0,0,1,9,3,1,0,1,0,112,0,10,Matches
703,Julien Duranville,be BEL,"MF,FW",Dortmund,de Bundesliga,18-270,2006,1.9,49,49,0,0,1,1,8,0,0,0,0,0,33,0,1,Matches
704,Hugo Duro,es ESP,FW,Valencia,es La Liga,25-081,1999,16.4,280,252,27,0,0,1,5,1,0,0,0,0,195,1,11,Matches
705,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,27-202,1997,6.0,304,250,53,6,0,0,9,47,0,0,0,0,238,1,5,Matches
706,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,31-076,1993,13.4,622,552,67,22,2,13,48,5,29,10,9,2,509,3,15,Matches
707,Stefan Džodić,rs SRB,"DF,MF",Montpellier,fr Ligue 1,19-321,2005,2.1,123,119,4,2,0,1,0,0,0,0,0,0,112,0,0,Matches
708,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,de Bundesliga,29-127,1995,1.4,79,64,15,3,0,0,2,11,0,0,0,0,53,0,4,Matches
709,Aron Dønnum,no NOR,"DF,MF",Toulouse,fr Ligue 1,26-285,1998,16.0,642,527,112,18,3,12,54,85,9,3,4,0,459,3,24,Matches
710,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,25-325,1999,1.0,55,49,6,3,0,1,0,2,0,0,0,0,48,0,0,Matches
711,Ederson,br BRA,GK,Manchester City,eng Premier League,31-166,1993,15.0,559,496,63,20,0,1,0,0,0,0,0,0,482,0,1,Matches
712,Éderson,br BRA,MF,Atalanta,it Serie A,25-207,1999,20.8,1255,1209,42,38,3,24,18,4,0,0,0,0,1091,4,16,Matches
713,George Edmundson,eng ENG,DF,Ipswich Town,eng Premier League,27-152,1997,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
714,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,eng Premier League,27-014,1998,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2,Matches
715,Odsonne Édouard,fr FRA,FW,Leicester City,eng Premier League,27-014,1998,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches
716,Samuel Edozie,eng ENG,"DF,FW",Southampton,eng Premier League,22-002,2003,0.7,33,33,0,0,0,0,4,0,0,0,0,0,25,0,2,Matches
717,Ronnie Edwards,eng ENG,DF,Southampton,eng Premier League,21-308,2003,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
718,Johannes Eggestein,de GER,FW,St. Pauli,de Bundesliga,26-267,1998,15.3,412,391,19,0,4,1,26,0,0,0,0,0,302,2,22,Matches
719,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-053,1996,17.2,798,781,14,12,2,0,7,2,0,0,0,0,661,3,23,Matches
720,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,29-250,1995,17.8,639,479,158,4,1,1,42,154,0,0,0,0,480,2,15,Matches
721,Chidera Ejuke,ng NGA,"FW,MF",Sevilla,es La Liga,27-028,1998,6.5,286,256,29,0,2,3,14,9,20,10,0,0,229,1,10,Matches
722,Jeff Ekhator,it ITA,"FW,MF",Genoa,it Serie A,18-080,2006,4.9,84,80,2,0,1,0,6,0,0,0,0,0,57,2,3,Matches
723,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,22-224,2002,14.7,349,318,30,1,3,4,14,0,0,0,0,0,270,1,13,Matches
724,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,24-300,2000,9.5,356,331,24,5,1,3,5,14,4,1,1,0,287,1,8,Matches
725,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,21-164,2003,3.5,150,99,50,1,0,0,13,49,0,0,0,0,103,1,10,Matches
726,Emmanuel Ekong,se SWE,"MF,FW",Empoli,it Serie A,22-219,2002,2.1,44,43,1,0,0,0,0,1,0,0,0,0,30,0,2,Matches
727,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,30-313,1994,3.0,38,33,4,0,0,0,1,0,0,0,0,0,31,1,1,Matches
728,Pierre Ekwah Elimby,fr FRA,MF,Saint-Étienne,fr Ligue 1,23-015,2002,14.6,776,755,21,21,2,10,2,0,0,0,0,0,685,0,7,Matches
729,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,22-278,2002,15.2,446,374,70,18,2,0,104,2,48,31,16,0,285,2,16,Matches
730,Mikael Ellertsson,is ISL,"DF,MF",Venezia,it Serie A,22-325,2002,16.1,344,320,23,1,1,2,10,21,0,0,0,0,239,1,15,Matches
731,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,21-301,2003,0.9,99,88,10,1,0,3,9,4,4,2,1,0,78,1,1,Matches
732,Elif Elmas,mk MKD,MF,RB Leipzig,de Bundesliga,25-128,1999,0.5,16,16,0,0,1,0,0,0,0,0,0,0,13,0,1,Matches
733,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,30-308,1994,4.9,307,279,26,8,0,0,2,18,0,0,0,0,257,2,3,Matches
734,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,28-122,1996,12.5,873,808,63,12,2,0,1,0,0,0,0,0,795,2,6,Matches
735,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,es La Liga,32-268,1992,11.7,386,331,52,15,2,1,78,6,28,15,9,0,241,3,20,Matches
736,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,27-351,1997,10.2,186,163,19,1,4,0,2,0,0,0,0,0,134,4,6,Matches
737,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,21-362,2003,12.6,148,135,11,0,0,0,0,0,0,0,0,0,111,2,4,Matches
738,Emerson,br BRA,DF,Milan,it Serie A,26-016,1999,15.3,909,796,110,26,0,3,45,84,0,0,0,0,784,3,23,Matches
739,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,eng Premier League,19-020,2006,0.2,17,16,1,0,0,0,0,1,0,0,0,0,12,0,1,Matches
740,Julio Enciso,py PAR,MF,Ipswich Town,eng Premier League,21-007,2004,0.1,8,5,2,0,0,0,1,0,2,1,0,0,5,1,0,Matches
741,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,21-007,2004,3.3,150,134,16,4,0,1,20,0,12,6,3,0,99,0,5,Matches
742,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,31-356,1993,0.9,57,57,0,0,0,0,0,0,0,0,0,0,54,0,1,Matches
743,Endrick,br BRA,FW,Real Madrid,es La Liga,18-193,2006,1.1,33,31,2,0,0,1,0,0,0,0,0,0,27,0,0,Matches
744,Yannik Engelhardt,de GER,"MF,DF",Como,it Serie A,23-358,2001,10.5,568,533,34,19,1,2,1,15,0,0,0,0,512,1,6,Matches
745,Arne Engels,be BEL,"MF,FW",Augsburg,de Bundesliga,21-144,2003,0.9,27,24,3,0,0,0,4,0,2,2,0,0,19,0,1,Matches
746,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,32-351,1992,7.0,434,375,59,17,4,5,48,3,37,13,13,5,353,0,3,Matches
747,Martin Erlic,hr CRO,DF,Bologna,it Serie A,27-006,1998,2.5,164,159,5,4,0,1,0,0,0,0,0,0,150,0,0,Matches
748,Patrick Erras,de GER,DF,Holstein Kiel,de Bundesliga,30-009,1995,9.2,510,490,20,12,0,0,0,0,0,0,0,0,469,0,3,Matches
749,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,33-025,1992,4.4,188,146,39,4,0,0,12,35,0,0,0,0,122,3,6,Matches
750,Sebastiano Esposito,it ITA,"FW,MF",Empoli,it Serie A,22-212,2002,13.4,423,383,39,11,2,3,36,1,19,9,4,0,247,1,23,Matches
751,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,19-262,2005,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
752,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-007,1998,11.0,182,165,15,2,0,0,2,0,0,0,0,0,119,2,8,Matches
753,Dario Essugo,pt POR,MF,Las Palmas,es La Liga,19-322,2005,12.2,604,592,10,7,3,6,1,1,0,0,0,0,524,2,6,Matches
754,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-077,1995,4.0,158,147,11,6,0,1,7,1,4,0,1,0,119,0,6,Matches
755,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,27-009,1998,15.7,968,822,145,14,0,5,83,102,29,22,5,0,812,1,18,Matches
756,Evanilson,br BRA,FW,Bournemouth,eng Premier League,25-116,1999,15.2,196,194,1,0,4,2,0,0,0,0,0,0,133,1,8,Matches
757,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,37-027,1988,3.2,196,177,19,5,0,0,0,3,0,0,0,0,174,0,1,Matches
758,Edu Expósito,es ESP,MF,Espanyol,es La Liga,28-182,1996,1.1,49,38,10,4,1,1,11,0,6,1,4,0,29,1,0,Matches
759,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,26-215,1998,17.6,695,564,121,45,7,4,76,3,42,24,9,0,518,10,13,Matches
760,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,es La Liga,23-044,2001,16.5,571,551,19,3,2,3,37,15,1,0,0,0,400,1,24,Matches
761,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22-016,2003,6.5,106,101,4,1,0,0,5,3,0,0,0,0,72,1,7,Matches
762,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39-287,1985,11.9,454,321,132,38,0,0,0,0,0,0,0,0,304,1,0,Matches
763,Alieu Fadera,gm GAM,"FW,DF",Como,it Serie A,23-088,2001,16.9,552,503,48,1,3,3,38,47,0,0,0,0,411,1,27,Matches
764,Wout Faes,be BEL,DF,Leicester City,eng Premier League,26-302,1998,17.3,850,818,31,14,2,3,2,4,0,0,0,0,736,1,5,Matches
765,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,23-353,2001,6.3,418,404,14,8,2,6,13,1,5,1,3,0,370,0,3,Matches
766,Romain Faivre,fr FRA,"MF,FW",Brest,fr Ligue 1,26-200,1998,6.5,229,213,15,4,2,0,14,1,10,6,3,0,194,1,5,Matches
767,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29-293,1995,22.0,670,492,175,69,0,0,0,0,0,0,0,0,413,3,0,Matches
768,Davide Faraoni,it ITA,"DF,MF",Hellas Verona,it Serie A,33-097,1991,1.5,54,45,9,1,0,0,9,8,0,0,0,0,36,0,1,Matches
769,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,eng Premier League,20-328,2004,6.4,197,186,11,1,2,2,30,9,1,0,0,0,123,0,18,Matches
770,Ansu Fati,es ESP,FW,Barcelona,es La Liga,22-091,2002,1.4,63,59,3,3,2,0,0,0,0,0,0,0,53,1,1,Matches
771,Khalil Fayad,fr FRA,"MF,FW",Montpellier,fr Ligue 1,20-235,2004,3.8,187,181,6,6,2,1,3,0,0,0,0,0,160,0,5,Matches
772,Jacopo Fazzini,it ITA,"MF,FW",Empoli,it Serie A,21-320,2003,8.5,219,198,19,4,3,0,20,1,12,2,2,0,161,2,9,Matches
773,Peter Federico,do DOM,"MF,FW",Getafe,es La Liga,22-189,2002,3.7,79,70,7,2,0,0,6,4,0,0,0,0,58,2,4,Matches
774,Nabil Fekir,fr FRA,MF,Betis,es La Liga,31-196,1993,2.0,82,71,11,3,1,1,10,0,8,3,3,0,67,0,4,Matches
775,Mattia Felici,it ITA,"MF,DF",Cagliari,it Serie A,23-288,2001,5.6,148,141,5,0,0,0,6,3,2,0,1,0,110,2,2,Matches
776,João Félix,pt POR,"FW,MF",Chelsea,eng Premier League,25-081,1999,4.1,199,193,5,2,2,1,0,3,0,0,0,0,171,1,5,Matches
777,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,33-363,1991,18.2,1129,930,197,42,1,8,38,154,0,0,0,0,1003,2,12,Matches
778,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,20-103,2004,2.5,48,44,3,0,0,0,0,0,0,0,0,0,35,1,1,Matches
779,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,25-159,1999,3.6,201,190,10,5,0,0,4,2,2,0,2,0,177,1,5,Matches
780,Zinedine Ferhat,dz ALG,FW,Angers,fr Ligue 1,31-335,1993,3.6,188,157,29,7,1,1,30,5,17,4,10,1,126,2,3,Matches
781,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,30-144,1994,20.4,1263,1136,118,49,13,10,95,12,43,21,7,3,950,9,30,Matches
782,Edimilson Fernandes,ch SUI,MF,Brest,fr Ligue 1,28-290,1996,7.8,345,341,4,4,1,3,3,0,0,0,0,0,294,0,3,Matches
783,Mateus Fernandes,pt POR,MF,Southampton,eng Premier League,20-204,2004,18.3,818,715,103,36,8,4,75,6,38,28,9,0,654,0,21,Matches
784,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,26-292,1998,7.3,293,237,55,17,0,0,0,0,0,0,0,0,185,1,0,Matches
785,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24-013,2001,17.8,1109,1018,85,37,9,18,51,3,44,34,0,0,909,6,18,Matches
786,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,22-211,2002,1.1,18,17,1,0,0,0,0,0,0,0,0,0,9,0,1,Matches
787,Valery Fernández,es ESP,"MF,FW",Mallorca,es La Liga,25-068,1999,2.6,63,62,1,0,0,0,3,1,0,0,0,0,54,0,1,Matches
788,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,19-362,2005,4.9,131,123,7,2,1,1,11,0,5,4,0,0,95,1,4,Matches
789,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,32-324,1992,10.7,648,618,28,21,0,3,13,7,0,0,0,0,573,2,4,Matches
790,Karol Fila,pl POL,MF,Strasbourg,fr Ligue 1,26-231,1998,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
791,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,24-110,2000,15.2,664,513,150,8,0,2,17,142,0,0,0,0,505,1,14,Matches
792,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31-231,1993,22.4,1104,893,205,82,0,5,0,0,0,0,0,0,814,6,0,Matches
793,Mateo Flores,es ESP,MF,Betis,es La Liga,20-298,2004,1.6,59,58,1,1,0,0,1,0,0,0,0,0,47,0,2,Matches
794,Phil Foden,eng ENG,"MF,FW",Manchester City,eng Premier League,24-247,2000,14.4,696,631,63,16,6,1,58,3,35,22,6,0,590,2,19,Matches
795,Malick Fofana,be BEL,"FW,MF",Lyon,fr Ligue 1,19-305,2005,11.2,400,388,11,1,1,0,45,10,0,0,0,0,307,1,21,Matches
796,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,29-268,1995,2.8,175,170,5,4,0,3,3,1,0,0,0,0,154,0,0,Matches
797,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,24-044,2000,11.3,703,666,36,21,0,0,1,14,0,0,0,0,630,1,4,Matches
798,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24-162,2000,19.0,584,377,205,52,0,0,0,0,0,0,0,0,407,2,0,Matches
799,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,26-020,1999,18.1,952,918,32,30,6,5,5,2,0,0,0,0,827,2,6,Matches
800,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,29-004,1996,16.1,720,587,132,7,0,1,44,125,0,0,0,0,516,1,30,Matches
801,Michael Folorunsho,it ITA,"MF,FW",Fiorentina,it Serie A,26-358,1998,2.2,88,84,4,4,0,0,5,0,0,0,0,0,73,0,3,Matches
802,Michael Folorunsho,it ITA,"FW,MF",Napoli,it Serie A,26-358,1998,0.4,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
803,Lamine Fomba,fr FRA,MF,Saint-Étienne,fr Ligue 1,27-004,1998,2.2,138,137,1,1,1,2,0,0,0,0,0,0,116,0,4,Matches
804,Carlos Forbs,pt POR,"MF,FW",Wolves,eng Premier League,20-317,2004,2.6,87,85,2,0,0,0,9,2,0,0,0,0,56,0,9,Matches
805,Pablo Fornals,es ESP,"MF,FW",Betis,es La Liga,28-343,1996,11.6,569,523,44,13,7,7,46,8,23,7,6,0,435,2,16,Matches
806,Omari Forson,eng ENG,"MF,FW",Monza,it Serie A,20-194,2004,0.8,43,42,1,0,0,0,4,1,0,0,0,0,34,0,2,Matches
807,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,36-319,1988,7.0,198,125,72,16,0,1,0,0,0,0,0,0,168,1,0,Matches
808,Héctor Fort,es ESP,DF,Barcelona,es La Liga,18-181,2006,3.3,249,218,30,2,0,1,6,28,0,0,0,0,224,1,4,Matches
809,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,31-313,1993,14.0,656,494,158,18,0,1,39,140,0,0,0,0,483,4,31,Matches
810,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,27-018,1998,2.0,92,79,13,4,0,0,0,5,0,0,0,0,76,0,0,Matches
811,Alejandro Francés,es ESP,DF,Girona,es La Liga,22-182,2002,6.9,453,378,74,15,0,3,13,59,0,0,0,0,386,1,12,Matches
812,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,29-293,1995,14.4,1034,882,146,9,4,2,72,125,12,4,8,0,831,6,31,Matches
813,Enric Franquesa,es ESP,"DF,FW",Leganés,es La Liga,27-339,1997,6.8,225,179,43,0,0,0,16,43,0,0,0,0,158,3,9,Matches
814,Ryan Fraser,sct SCO,"FW,DF",Southampton,eng Premier League,30-341,1994,3.4,103,97,5,0,0,0,12,3,2,2,0,0,77,1,2,Matches
815,Davide Frattesi,it ITA,MF,Inter,it Serie A,25-100,1999,8.0,231,224,6,5,4,0,3,1,0,0,0,0,193,1,3,Matches
816,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,23-298,2001,20.5,724,703,16,15,2,3,2,1,0,0,0,0,615,5,13,Matches
817,Martin Frese,dk DEN,DF,Hellas Verona,it Serie A,27-026,1998,3.7,169,140,28,2,0,0,7,26,0,0,0,0,115,1,3,Matches
818,Remo Freuler,ch SUI,MF,Bologna,it Serie A,32-290,1992,20.7,1180,1121,56,47,1,0,10,7,0,0,0,0,1049,3,11,Matches
819,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,26-320,1998,14.9,977,930,46,41,0,2,2,4,0,0,0,0,885,1,2,Matches
820,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,29-048,1995,7.8,495,480,15,6,0,0,0,1,0,0,0,0,435,0,4,Matches
821,Jeremie Frimpong,nl NED,"DF,MF",Leverkusen,de Bundesliga,24-051,2000,14.5,482,440,40,0,0,2,54,40,0,0,0,0,372,2,13,Matches
822,Jorge de Frutos,es ESP,"MF,FW",Rayo Vallecano,es La Liga,27-345,1997,16.3,422,412,8,0,2,0,44,8,0,0,0,0,293,2,30,Matches
823,Darío Fuentes,es ESP,DF,Sevilla,es La Liga,22-018,2003,0.1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,Matches
824,Chris Führich,de GER,"MF,FW",Stuttgart,de Bundesliga,27-021,1998,11.3,546,497,48,6,6,1,42,21,21,10,0,0,436,1,16,Matches
825,Shiō Fukuda,jp JPN,"FW,MF",Gladbach,de Bundesliga,20-297,2004,0.3,5,5,0,0,0,0,1,0,0,0,0,0,3,0,1,Matches
826,Angelo Fulgini,fr FRA,"MF,FW",Lens,fr Ligue 1,28-163,1996,9.1,496,456,34,9,7,5,31,8,10,4,4,0,389,6,13,Matches
827,Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,31-356,1993,4.1,77,70,7,0,0,1,0,0,0,0,0,0,53,0,2,Matches
828,Manuel Fuster,es ESP,"MF,FW",Las Palmas,es La Liga,27-100,1997,5.3,270,245,21,8,2,3,23,6,7,4,3,0,215,4,6,Matches
829,Matteo Gabbia,it ITA,DF,Milan,it Serie A,25-101,1999,12.0,740,713,25,20,0,8,2,4,0,0,0,0,663,2,2,Matches
830,Alessandro Gabrielloni,it ITA,"FW,MF",Como,it Serie A,30-204,1994,1.2,40,37,3,0,0,0,1,1,0,0,0,0,23,0,4,Matches
831,Gianluca Gaetano,it ITA,"MF,FW",Cagliari,it Serie A,24-270,2000,8.0,244,227,17,2,2,3,17,3,7,1,6,0,177,0,9,Matches
832,Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,30-298,1994,1.1,54,51,3,3,0,0,1,0,0,0,0,0,50,0,0,Matches
833,Cody Gakpo,nl NED,FW,Liverpool,eng Premier League,25-268,1999,13.7,437,424,11,2,2,4,52,8,1,0,0,0,334,2,9,Matches
834,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,30-072,1994,9.4,512,420,91,9,1,1,26,82,0,0,0,0,424,1,9,Matches
835,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,31-177,1993,10.6,554,526,26,19,3,4,21,0,5,0,5,0,461,2,10,Matches
836,Conor Gallagher,eng ENG,MF,Atlético Madrid,es La Liga,24-359,2000,10.5,475,461,12,4,1,1,6,6,1,1,0,0,403,2,8,Matches
837,Antonino Gallo,it ITA,DF,Lecce,it Serie A,25-025,2000,13.8,623,484,138,13,0,3,63,114,11,5,4,0,429,1,11,Matches
838,Gauthier Gallon,fr FRA,GK,Rennes,fr Ligue 1,31-282,1993,0.5,19,15,4,0,0,0,0,0,0,0,0,0,16,0,0,Matches
839,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,35-098,1989,1.4,82,72,10,1,1,2,7,9,0,0,0,0,51,0,1,Matches
840,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,35-126,1989,18.5,783,758,22,5,2,4,4,4,0,0,0,0,673,3,16,Matches
841,Ignatius Ganago,cm CMR,"FW,MF",Nantes,fr Ligue 1,25-349,1999,2.7,77,72,5,0,0,0,3,1,0,0,0,0,59,0,1,Matches
842,Aleix García,es ESP,"MF,FW",Leverkusen,de Bundesliga,27-216,1997,7.4,666,608,58,20,1,13,46,4,34,17,10,0,584,0,8,Matches
843,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,es La Liga,32-095,1992,12.7,401,394,4,1,1,3,51,3,0,0,0,0,254,3,20,Matches
844,Eric García,es ESP,"MF,DF",Barcelona,es La Liga,24-021,2001,7.0,493,476,16,13,1,1,1,2,0,0,0,0,453,1,5,Matches
845,Fran Garcia,es ESP,DF,Real Madrid,es La Liga,25-169,1999,10.5,675,583,91,9,0,1,28,82,0,0,0,0,592,1,13,Matches
846,Joan García,es ESP,GK,Espanyol,es La Liga,23-271,2001,21.0,674,474,198,74,0,2,0,0,0,0,0,0,493,2,1,Matches
847,Pablo Garcia,es ESP,FW,Betis,es La Liga,18-168,2006,0.2,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
848,Rubén García,es ESP,"FW,MF",Osasuna,es La Liga,31-200,1993,14.0,631,559,66,29,0,16,67,6,27,14,3,1,467,6,22,Matches
849,Ulisses Garcia,ch SUI,DF,Marseille,fr Ligue 1,29-019,1996,5.5,308,249,57,6,0,0,18,51,0,0,0,0,253,2,6,Matches
850,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,eng Premier League,20-213,2004,13.7,454,441,12,2,1,8,29,9,1,1,0,0,356,1,28,Matches
851,James Garner,eng ENG,"DF,MF",Everton,eng Premier League,23-323,2001,3.0,103,79,22,0,0,0,6,22,0,0,0,0,69,2,8,Matches
852,Yarek Gasiorowski,es ESP,DF,Valencia,es La Liga,20-018,2005,10.1,468,435,33,16,1,1,3,16,0,0,0,0,376,0,7,Matches
853,Federico Gatti,it ITA,DF,Juventus,it Serie A,26-220,1998,18.4,1123,1089,33,21,0,0,0,2,0,0,0,0,1076,1,2,Matches
854,Gavi,es ESP,MF,Barcelona,es La Liga,20-178,2004,3.6,195,191,4,1,1,1,5,3,0,0,0,0,162,0,3,Matches
855,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,33-028,1992,20.5,717,587,128,35,0,1,0,0,0,0,0,0,590,2,1,Matches
856,Jean-Philippe Gbamin,ci CIV,MF,Nantes,fr Ligue 1,29-127,1995,2.4,115,113,2,2,0,2,0,0,0,0,0,0,90,0,2,Matches
857,Yann Gboho,fr FRA,"MF,FW",Toulouse,fr Ligue 1,24-016,2001,17.2,407,398,6,2,4,1,20,0,0,0,0,0,287,3,23,Matches
858,David de Gea,es ESP,GK,Fiorentina,it Serie A,34-084,1990,18.0,550,370,175,51,0,1,0,0,0,0,0,0,405,5,0,Matches
