Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
2073,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,eng Premier League,27-059,1997,2.4,113,107,6,6,0,0,0,0,0,0,0,0,86,0,5,Matches
2074,Nhoa Sangui,fr FRA,"DF,MF",Reims,fr Ligue 1,18-338,2006,7.9,385,326,57,6,0,3,12,51,0,0,0,0,315,2,9,Matches
2075,Kaishu Sano,jp JPN,MF,Mainz 05,de Bundesliga,24-031,2000,18.8,764,757,4,2,0,4,3,2,0,0,0,0,607,3,13,Matches
2076,Nicola Sansone,it ITA,"MF,FW",Lecce,it Serie A,33-142,1991,0.7,22,18,4,1,0,0,4,0,3,2,1,0,18,0,0,Matches
2077,Baptiste Santamaria,fr FRA,MF,Nice,fr Ligue 1,29-327,1995,1.0,36,34,1,1,0,0,0,0,0,0,0,0,30,1,1,Matches
2078,Baptiste Santamaria,fr FRA,MF,Rennes,fr Ligue 1,29-327,1995,5.4,308,296,12,10,1,2,4,1,0,0,0,0,254,0,9,Matches
2079,Jesús Santiago,es ESP,MF,Getafe,es La Liga,20-250,2004,3.5,105,103,2,0,0,0,2,2,0,0,0,0,72,0,3,Matches
2080,Andrey Santos,br BRA,MF,Strasbourg,fr Ligue 1,20-272,2004,17.7,852,804,43,42,5,0,0,1,0,0,0,0,744,5,16,Matches
2081,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,21-294,2003,4.5,161,137,24,8,0,0,0,0,0,0,0,0,117,0,0,Matches
2082,Tiago Santos,pt POR,DF,Lille,fr Ligue 1,22-191,2002,4.5,223,201,22,1,0,0,19,21,0,0,0,0,175,0,6,Matches
2083,Pablo Sarabia,es ESP,"MF,FW",Wolves,eng Premier League,32-264,1992,3.9,173,140,28,9,2,0,19,4,10,9,1,0,115,5,8,Matches
2084,Jeremy Sarmiento,ec ECU,MF,Brighton,eng Premier League,22-228,2002,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
2085,Amin Sarr,se SWE,FW,Hellas Verona,it Serie A,23-325,2001,7.9,183,167,15,0,1,0,1,1,0,0,0,0,135,1,6,Matches
2086,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,eng Premier League,26-340,1998,16.7,416,411,2,0,6,0,33,2,0,0,0,0,273,3,16,Matches
2087,Malang Sarr,fr FRA,DF,Lens,fr Ligue 1,26-007,1999,5.3,288,277,10,8,1,1,1,1,0,0,0,0,256,1,3,Matches
2088,Mamadou Sarr,fr FRA,DF,Strasbourg,fr Ligue 1,19-154,2005,12.5,750,698,52,34,0,1,0,2,0,0,0,0,700,0,8,Matches
2089,Martin Satriano,uy URU,"FW,DF",Lens,fr Ligue 1,23-345,2001,0.5,18,16,2,0,0,0,1,1,0,0,0,0,10,0,1,Matches
2090,Razvan Sava,ro ROU,GK,Udinese,it Serie A,22-223,2002,8.0,263,204,59,22,0,0,0,0,0,0,0,0,181,0,0,Matches
2091,Téji Savanier,fr FRA,MF,Montpellier,fr Ligue 1,33-039,1991,15.9,906,715,182,69,8,32,124,12,76,24,44,0,619,9,16,Matches
2092,Sávio,br BRA,"FW,MF",Manchester City,eng Premier League,20-295,2004,12.0,536,513,23,3,5,5,61,4,15,9,2,0,424,0,20,Matches
2093,Nicolò Savona,it ITA,DF,Juventus,it Serie A,21-317,2003,13.5,875,780,93,12,0,2,26,81,0,0,0,0,791,2,10,Matches
2094,Saba Sazonov,ge GEO,DF,Torino,it Serie A,22-364,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2095,Joe Scally,us USA,DF,Gladbach,de Bundesliga,22-030,2002,16.7,935,754,179,23,3,7,26,156,0,0,0,0,787,2,20,Matches
2096,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,21-050,2003,3.0,195,191,4,3,1,2,0,1,0,0,0,0,165,0,3,Matches
2097,Oliver Scarles,eng ENG,"DF,FW",West Ham,eng Premier League,19-049,2005,1.1,51,46,4,0,0,0,4,4,0,0,0,0,36,1,0,Matches
