Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1230,Odilon Kossounou,ci CIV,DF,Atalanta,it Serie A,24-026,2001,12,7,720,8.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.6,11,29,9,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
1231,Christian Kouamé,ci CIV,"FW,MF",Fiorentina,it Serie A,27-055,1997,17,5,614,6.8,0,1,1,0,0,0,1,0,1.0,1.0,1.5,2.5,7,16,46,0.00,0.15,0.15,0.00,0.15,0.14,0.22,0.36,0.14,0.36,Matches
1232,Henri Koudossou,de GER,DF,Augsburg,de Bundesliga,25-149,1999,14,4,593,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,10,15,35,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
1233,Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,de Bundesliga,21-063,2003,17,15,1363,15.1,0,2,2,0,0,0,2,0,0.4,0.4,0.9,1.2,12,59,5,0.00,0.13,0.13,0.00,0.13,0.03,0.06,0.08,0.03,0.08,Matches
1234,Emmanuel Koum Mbondo,fr FRA,DF,Marseille,fr Ligue 1,18-360,2006,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1235,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,26-079,1998,21,19,1685,18.7,2,3,5,2,0,0,2,0,1.6,1.6,3.5,5.1,32,97,139,0.11,0.16,0.27,0.11,0.27,0.09,0.19,0.28,0.09,0.28,Matches
1236,Boubakar Kouyaté,ml MLI,DF,Montpellier,fr Ligue 1,27-290,1997,4,2,214,2.4,0,0,0,0,0,0,3,1,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
1237,Mateo Kovačić,hr CRO,MF,Manchester City,eng Premier League,30-269,1994,19,17,1455,16.2,4,1,5,4,0,0,5,0,1.3,1.3,3.4,4.7,41,102,14,0.25,0.06,0.31,0.25,0.31,0.08,0.21,0.29,0.08,0.29,Matches
1238,Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,24-258,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1239,Mateusz Kowalski,pl POL,MF,Parma,it Serie A,19-193,2005,1,1,56,0.6,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,0,2,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.69,0.69,0.69,Matches
1240,Goduine Koyalipou,cf CTA,FW,Lens,fr Ligue 1,24-350,2000,3,3,222,2.5,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.1,6,4,19,0.41,0.00,0.41,0.41,0.41,0.35,0.09,0.44,0.35,0.44,Matches
1241,Caleb Kporha,eng ENG,DF,Crystal Palace,eng Premier League,18-199,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1242,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,30-181,1994,3,2,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
1243,Alex Král,cz CZE,MF,Espanyol,es La Liga,26-256,1998,21,20,1833,20.4,0,1,1,0,0,0,1,0,0.8,0.8,1.5,2.2,32,58,52,0.00,0.05,0.05,0.00,0.05,0.04,0.07,0.11,0.04,0.11,Matches
1244,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,de Bundesliga,33-225,1991,18,18,1532,17.0,7,2,9,5,2,2,3,0,6.6,5.0,2.0,7.1,45,88,120,0.41,0.12,0.53,0.29,0.41,0.39,0.12,0.51,0.30,0.42,Matches
1245,Frans Krätzig,de GER,"FW,DF",Heidenheim,de Bundesliga,22-016,2003,4,4,311,3.5,1,0,1,1,0,0,0,0,0.4,0.4,0.5,0.9,6,6,18,0.29,0.00,0.29,0.29,0.29,0.12,0.13,0.25,0.12,0.25,Matches
1246,Frans Krätzig,de GER,DF,Stuttgart,de Bundesliga,22-016,2003,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1247,Ladislav Krejčí,cz CZE,DF,Girona,es La Liga,25-285,1999,12,11,1000,11.1,2,0,2,2,0,0,5,0,1.2,1.2,0.1,1.3,18,59,4,0.18,0.00,0.18,0.18,0.18,0.11,0.01,0.11,0.11,0.11,Matches
1248,Rasmus Kristensen,dk DEN,"DF,FW",Eint Frankfurt,de Bundesliga,27-203,1997,16,16,1359,15.1,1,2,3,1,0,0,1,0,0.5,0.5,2.1,2.5,40,113,80,0.07,0.13,0.20,0.07,0.20,0.03,0.14,0.17,0.03,0.17,Matches
1249,Thomas Kristensen,dk DEN,DF,Udinese,it Serie A,23-013,2002,11,8,818,9.1,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,8,40,4,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
1250,Nikola Krstović,me MNE,FW,Lecce,it Serie A,24-300,2000,22,22,1787,19.9,6,1,7,5,1,2,2,0,8.0,6.4,1.5,7.9,21,33,85,0.30,0.05,0.35,0.25,0.30,0.40,0.07,0.48,0.32,0.40,Matches
1251,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,32-153,1992,19,19,1491,16.6,4,0,4,4,0,0,5,0,1.8,1.8,0.5,2.3,16,60,38,0.24,0.00,0.24,0.24,0.24,0.11,0.03,0.14,0.11,0.14,Matches
1252,Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,es La Liga,23-240,2001,21,15,1389,15.4,4,0,4,4,0,0,4,0,2.6,2.6,2.7,5.3,86,63,135,0.26,0.00,0.26,0.26,0.26,0.17,0.18,0.34,0.17,0.34,Matches
1253,Mohammed Kudus,gh GHA,"MF,FW",West Ham,eng Premier League,24-181,2000,18,18,1473,16.4,3,1,4,3,0,0,0,1,4.0,4.0,2.0,6.0,61,47,139,0.18,0.06,0.24,0.18,0.24,0.24,0.12,0.36,0.24,0.36,Matches
1254,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,eng Premier League,24-280,2000,23,21,1860,20.7,6,4,10,6,0,0,3,0,3.4,3.4,5.6,9.1,104,105,178,0.29,0.19,0.48,0.29,0.48,0.17,0.27,0.44,0.17,0.44,Matches
1255,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,19-310,2005,5,4,327,3.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,10,13,31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
1256,Marash Kumbulla,al ALB,DF,Espanyol,es La Liga,24-357,2000,19,18,1552,17.2,2,0,2,2,0,0,5,0,1.0,1.0,0.0,1.1,9,44,1,0.12,0.00,0.12,0.12,0.12,0.06,0.00,0.06,0.06,0.06,Matches
1257,Daler Kuzyaev,ru RUS,MF,Le Havre,fr Ligue 1,32-015,1993,12,6,567,6.3,1,0,1,1,0,0,1,0,0.2,0.2,0.6,0.8,4,32,9,0.16,0.00,0.16,0.16,0.16,0.03,0.09,0.12,0.03,0.12,Matches
1258,Khvicha Kvaratskhelia,ge GEO,"FW,MF",Napoli,it Serie A,23-353,2001,17,15,1178,13.1,5,3,8,4,1,1,1,0,4.1,3.4,3.7,7.0,74,57,89,0.38,0.23,0.61,0.31,0.53,0.32,0.28,0.60,0.26,0.54,Matches
1259,Khvicha Kvaratskhelia,ge GEO,FW,Paris S-G,fr Ligue 1,23-353,2001,1,1,82,0.9,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,4,7,15,0.00,1.10,1.10,0.00,1.10,0.05,0.19,0.25,0.05,0.25,Matches
1260,Moritz-Broni Kwarteng,gh GHA,"MF,FW",Bochum,de Bundesliga,26-277,1998,7,0,172,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,4,12,16,0.00,0.00,0.00,0.00,0.00,0.10,0.09,0.19,0.10,0.19,Matches
1261,Giorgos Kyriakopoulos,gr GRE,DF,Monza,it Serie A,28-360,1996,19,19,1644,18.3,2,3,5,2,0,0,4,0,0.5,0.5,2.1,2.6,42,56,84,0.11,0.16,0.27,0.11,0.27,0.03,0.11,0.14,0.03,0.14,Matches
1262,Luca de la Torre,us USA,MF,Celta Vigo,es La Liga,26-252,1998,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1263,Rémy Labeau Lascary,gp GLP,"FW,MF",Lens,fr Ligue 1,21-333,2003,14,6,637,7.1,2,1,3,2,0,0,5,0,2.5,2.5,1.1,3.6,17,7,71,0.28,0.14,0.42,0.28,0.42,0.36,0.15,0.51,0.36,0.51,Matches
1264,Gaëtan Laborde,fr FRA,FW,Nice,fr Ligue 1,30-272,1994,13,7,708,7.9,6,2,8,4,2,2,0,0,5.4,3.8,1.2,5.0,13,15,61,0.76,0.25,1.02,0.51,0.76,0.69,0.15,0.83,0.49,0.63,Matches
1265,Nediljko Labrović,hr CRO,GK,Augsburg,de Bundesliga,25-112,1999,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1266,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,33-247,1991,17,14,1177,13.1,5,2,7,4,1,2,2,0,7.8,6.3,2.9,9.2,13,51,104,0.38,0.15,0.54,0.31,0.46,0.59,0.22,0.82,0.48,0.71,Matches
1267,Maxence Lacroix,fr FRA,DF,Crystal Palace,eng Premier League,24-299,2000,20,20,1800,20.0,1,1,2,1,0,0,4,0,1.8,1.8,0.3,2.1,7,46,2,0.05,0.05,0.10,0.05,0.10,0.09,0.02,0.10,0.09,0.10,Matches
1268,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,26-007,1999,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1269,Yoel Lago,es ESP,DF,Celta Vigo,es La Liga,20-311,2004,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1270,Konrad Laimer,at AUT,DF,Bayern Munich,de Bundesliga,27-248,1997,15,7,663,7.4,1,0,1,1,0,0,5,0,0.6,0.6,1.5,2.1,33,48,47,0.14,0.00,0.14,0.14,0.14,0.09,0.20,0.28,0.09,0.28,Matches
1271,Stefan Lainer,at AUT,DF,Gladbach,de Bundesliga,32-156,1992,12,3,424,4.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,10,13,15,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
1272,Kenny Lala,mg MAD,DF,Brest,fr Ligue 1,33-119,1991,16,15,1426,15.8,2,1,3,0,2,2,2,0,2.1,0.5,0.9,1.4,34,72,37,0.13,0.06,0.19,0.00,0.06,0.13,0.06,0.19,0.03,0.09,Matches
1273,Adam Lallana,eng ENG,MF,Southampton,eng Premier League,36-265,1988,12,5,331,3.7,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,5,23,10,0.00,0.54,0.54,0.00,0.54,0.05,0.25,0.29,0.05,0.29,Matches
1274,Mathis Lambourde,fr FRA,"FW,MF",Hellas Verona,it Serie A,19-021,2006,4,0,40,0.4,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,1,0,3,2.25,0.00,2.25,2.25,2.25,0.16,0.20,0.36,0.16,0.36,Matches
1275,Mohamed Lamine Bayo,gn GUI,FW,Lille,fr Ligue 1,26-240,1998,12,4,309,3.4,2,1,3,2,0,0,1,0,2.2,2.2,0.5,2.7,4,4,20,0.58,0.29,0.87,0.58,0.87,0.65,0.15,0.80,0.65,0.80,Matches
1276,Tariq Lamptey,gh GHA,DF,Brighton,eng Premier League,24-122,2000,9,5,429,4.8,2,2,4,2,0,0,0,0,0.3,0.3,0.4,0.8,17,7,27,0.42,0.42,0.84,0.42,0.84,0.07,0.09,0.16,0.07,0.16,Matches
1277,Will Lankshear,eng ENG,"FW,MF",Tottenham,eng Premier League,19-285,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1278,Gianluca Lapadula,pe PER,"FW,MF",Cagliari,it Serie A,34-358,1990,12,1,310,3.4,0,0,0,0,0,0,1,0,1.4,1.4,0.1,1.4,7,7,16,0.00,0.00,0.00,0.00,0.00,0.40,0.02,0.42,0.40,0.42,Matches
1279,Cyle Larin,ca CAN,FW,Mallorca,es La Liga,29-288,1995,18,15,1120,12.4,5,2,7,4,1,1,3,0,4.8,4.0,1.2,5.3,10,10,58,0.40,0.16,0.56,0.32,0.48,0.39,0.10,0.49,0.32,0.42,Matches
1280,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,fr Ligue 1,27-342,1997,19,19,1710,19.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1281,Hugo Larsson,se SWE,MF,Eint Frankfurt,de Bundesliga,20-217,2004,18,15,1302,14.5,2,0,2,2,0,0,1,0,2.4,2.4,0.9,3.4,10,60,12,0.14,0.00,0.14,0.14,0.14,0.17,0.07,0.23,0.17,0.23,Matches
1282,Juanmi Latasa,es ESP,FW,Valladolid,es La Liga,23-313,2001,14,4,536,6.0,0,0,0,0,0,0,4,1,1.1,1.1,0.2,1.3,1,9,19,0.00,0.00,0.00,0.00,0.00,0.18,0.04,0.22,0.18,0.22,Matches
1283,Toni Lato,es ESP,DF,Mallorca,es La Liga,27-070,1997,5,3,263,2.9,0,0,0,0,0,0,0,1,0.0,0.0,0.3,0.3,7,11,18,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
1284,Roméo Lavia,be BEL,MF,Chelsea,eng Premier League,21-024,2004,10,8,532,5.9,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,17,6,0.00,0.17,0.17,0.00,0.17,0.03,0.12,0.15,0.03,0.15,Matches
1285,Valentino Lazaro,at AUT,"DF,MF",Torino,it Serie A,28-312,1996,21,16,1449,16.1,0,4,4,0,0,0,3,0,0.7,0.7,2.2,2.9,26,51,88,0.00,0.25,0.25,0.00,0.25,0.04,0.13,0.18,0.04,0.18,Matches
1286,Darko Lazović,rs SRB,"FW,DF",Hellas Verona,it Serie A,34-137,1990,21,17,1332,14.8,1,3,4,0,1,1,0,0,2.0,1.2,3.4,4.6,21,34,82,0.07,0.20,0.27,0.00,0.20,0.13,0.23,0.36,0.08,0.31,Matches
1287,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,31-062,1993,16,12,951,10.6,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,48,52,74,0.00,0.09,0.09,0.00,0.09,0.01,0.09,0.10,0.01,0.10,Matches
1288,Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,27-180,1997,9,9,793,8.8,0,1,1,0,0,0,2,0,0.3,0.3,0.2,0.6,4,20,1,0.00,0.11,0.11,0.00,0.11,0.04,0.02,0.06,0.04,0.06,Matches
1289,Jérémy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,26-284,1998,2,1,102,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,7,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
1290,Enzo Le Fée,fr FRA,MF,Roma,it Serie A,24-362,2000,6,4,318,3.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,15,28,3,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.10,0.06,0.10,Matches
1291,Robin Le Normand,es ESP,DF,Atlético Madrid,es La Liga,28-080,1996,12,10,923,10.3,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.6,6,32,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Matches
1292,Nicola Leali,it ITA,GK,Genoa,it Serie A,31-348,1993,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1293,Rafael Leão,pt POR,FW,Milan,it Serie A,25-234,1999,19,16,1346,15.0,4,4,8,4,0,0,2,0,5.2,5.2,3.7,8.9,73,57,150,0.27,0.27,0.53,0.27,0.53,0.35,0.25,0.59,0.35,0.59,Matches
1294,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,33-279,1991,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1295,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,31-250,1993,6,4,350,3.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,11,34,9,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11,Matches
1296,Jordan Lefort,fr FRA,DF,Angers,fr Ligue 1,31-174,1993,19,19,1710,19.0,0,1,1,0,0,0,1,0,0.2,0.2,0.9,1.1,1,53,9,0.00,0.05,0.05,0.00,0.05,0.01,0.05,0.06,0.01,0.06,Matches
1297,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,26-007,1999,18,17,1493,16.6,0,1,1,0,0,0,2,0,0.9,0.9,0.7,1.6,15,69,11,0.00,0.06,0.06,0.00,0.06,0.05,0.04,0.10,0.05,0.10,Matches
1298,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,26-257,1998,12,6,594,6.6,1,0,1,1,0,0,1,0,1.1,1.1,0.2,1.3,4,23,4,0.15,0.00,0.15,0.15,0.15,0.17,0.03,0.20,0.17,0.20,Matches
1299,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,33-255,1991,21,21,1885,20.9,0,2,2,0,0,0,4,0,1.3,1.3,0.8,2.1,17,72,5,0.00,0.10,0.10,0.00,0.10,0.06,0.04,0.10,0.06,0.10,Matches
1300,Stefan Lekovic,rs SRB,DF,Monza,it Serie A,21-021,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1301,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,31-271,1993,7,4,373,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,7,20,11,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
1302,Nunzio Lella,it ITA,MF,Venezia,it Serie A,24-186,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1303,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,29-079,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,Matches
1304,Félix Lemaréchal,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,21-176,2003,12,6,605,6.7,1,1,2,1,0,0,1,0,0.6,0.6,0.7,1.3,10,15,25,0.15,0.15,0.30,0.15,0.30,0.09,0.10,0.19,0.09,0.19,Matches
1305,Mario Lemina,ga GAB,"MF,DF",Wolves,eng Premier League,31-151,1993,17,15,1364,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches
1306,Clément Lenglet,fr FRA,DF,Atlético Madrid,es La Liga,29-227,1995,11,11,923,10.3,1,1,2,1,0,0,5,0,1.4,1.4,0.8,2.1,10,47,0,0.10,0.10,0.20,0.10,0.20,0.13,0.07,0.21,0.13,0.21,Matches
1307,Bernd Leno,de GER,GK,Fulham,eng Premier League,32-332,1992,23,23,2070,23.0,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,Matches
1308,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,32-088,1992,17,17,1530,17.0,0,2,2,0,0,0,2,0,0.0,0.0,0.4,0.4,0,1,0,0.00,0.12,0.12,0.00,0.12,0.00,0.02,0.02,0.00,0.02,Matches
1309,Giovanni Leoni,it ITA,DF,Parma,it Serie A,18-040,2006,4,3,278,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1310,Esteban Lepaul,fr FRA,FW,Angers,fr Ligue 1,24-287,2000,15,5,551,6.1,5,0,5,5,0,0,0,0,2.6,2.6,0.2,2.9,12,11,24,0.82,0.00,0.82,0.82,0.82,0.43,0.04,0.47,0.43,0.47,Matches
1311,Johann Lepenant,fr FRA,MF,Nantes,fr Ligue 1,22-100,2002,15,13,1145,12.7,2,1,3,2,0,0,2,0,1.0,1.0,0.8,1.8,17,52,44,0.16,0.08,0.24,0.16,0.24,0.08,0.06,0.14,0.08,0.14,Matches
1312,Jefferson Lerma,co COL,MF,Crystal Palace,eng Premier League,30-097,1994,18,14,1203,13.4,0,0,0,0,0,0,4,0,0.7,0.7,0.9,1.6,7,61,22,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Matches
1313,Louis Leroux,fr FRA,"MF,DF",Nantes,fr Ligue 1,19-007,2006,4,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches
1314,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,36-162,1988,20,19,1587,17.6,17,2,19,15,2,3,1,0,18.0,15.7,2.3,18.0,18,36,100,0.96,0.11,1.08,0.85,0.96,1.02,0.13,1.15,0.89,1.02,Matches
1315,Jamie Leweling,de GER,"MF,FW",Stuttgart,de Bundesliga,23-339,2001,13,10,790,8.8,1,0,1,1,0,0,3,0,0.6,0.6,2.1,2.7,35,33,86,0.11,0.00,0.11,0.11,0.11,0.07,0.23,0.30,0.07,0.30,Matches
1316,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,20-070,2004,19,16,1402,15.6,1,2,3,1,0,0,5,1,1.2,1.2,0.3,1.5,32,80,57,0.06,0.13,0.19,0.06,0.19,0.07,0.02,0.10,0.07,0.10,Matches
1317,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,eng Premier League,23-343,2001,23,21,1829,20.3,1,2,3,1,0,0,4,0,2.3,2.3,1.5,3.7,61,52,101,0.05,0.10,0.15,0.05,0.15,0.11,0.07,0.18,0.11,0.18,Matches
1318,Myles Lewis-Skelly,eng ENG,DF,Arsenal,eng Premier League,18-126,2006,9,6,462,5.1,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,9,23,14,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
1319,Ben Lhassine Kone,ci CIV,MF,Como,it Serie A,24-322,2000,4,0,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
1320,Mattia Liberali,it ITA,MF,Milan,it Serie A,17-299,2007,1,1,61,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,4,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.14,0.10,0.14,Matches
1321,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,28-203,1996,17,16,1441,16.0,1,0,1,1,0,0,4,0,0.4,0.4,0.5,0.9,24,74,4,0.06,0.00,0.06,0.06,0.06,0.03,0.03,0.06,0.03,0.06,Matches
1322,Matthijs de Ligt,nl NED,DF,Manchester Utd,eng Premier League,25-171,1999,21,18,1540,17.1,1,0,1,1,0,0,3,0,1.8,1.8,0.3,2.1,4,35,4,0.06,0.00,0.06,0.06,0.06,0.10,0.02,0.12,0.10,0.12,Matches
1323,Pedro Lima,br BRA,DF,Wolves,eng Premier League,18-213,2006,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,8,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches
1324,Victor Lindelöf,se SWE,"DF,MF",Manchester Utd,eng Premier League,30-197,1994,5,0,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
1325,Jesper Lindstrøm,dk DEN,FW,Everton,eng Premier League,24-336,2000,18,9,799,8.9,0,0,0,0,0,0,1,0,1.8,1.8,1.6,3.4,24,12,54,0.00,0.00,0.00,0.00,0.00,0.20,0.18,0.38,0.20,0.38,Matches
1326,Karol Linetty,pl POL,MF,Torino,it Serie A,29-363,1995,19,14,1198,13.3,1,0,1,1,0,0,5,0,0.6,0.6,0.2,0.8,13,42,14,0.08,0.00,0.08,0.08,0.08,0.04,0.02,0.06,0.04,0.06,Matches
1327,Samuel Lino,br BRA,"MF,DF",Atlético Madrid,es La Liga,25-038,1999,17,10,847,9.4,2,2,4,2,0,0,2,0,4.5,4.5,2.2,6.7,37,45,102,0.21,0.21,0.43,0.21,0.43,0.48,0.23,0.71,0.48,0.71,Matches
1328,Pol Lirola,es ESP,DF,Marseille,fr Ligue 1,27-170,1997,10,4,432,4.8,1,1,2,1,0,0,1,1,0.5,0.5,0.2,0.7,7,11,28,0.21,0.21,0.42,0.21,0.42,0.10,0.04,0.14,0.10,0.14,Matches
1329,Dailon Livramento,cv CPV,"FW,MF",Hellas Verona,it Serie A,23-271,2001,16,6,633,7.0,1,1,2,1,0,0,1,1,1.4,1.4,0.7,2.1,16,10,36,0.14,0.14,0.28,0.14,0.28,0.20,0.11,0.30,0.20,0.30,Matches
1330,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,22-079,2002,22,18,1584,17.6,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.7,42,82,59,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
1331,Javier Llabrés,es ESP,FW,Mallorca,es La Liga,22-141,2002,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,8,0.00,0.00,0.00,0.00,0.00,0.08,0.14,0.21,0.08,0.21,Matches
