Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
36,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,28-024,1997,7,5,378,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,19,9,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Matches
37,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26-353,1998,19,13,1214,13.5,2,1,3,2,0,0,2,0,2.7,2.7,3.2,5.9,39,22,85,0.15,0.07,0.22,0.15,0.22,0.20,0.24,0.44,0.20,0.44,Matches
38,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-227,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
39,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-227,1997,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
40,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-124,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Matches
41,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-035,2000,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22-356,2002,19,12,1026,11.4,0,0,0,0,0,0,3,1,0.2,0.2,0.6,0.8,13,52,13,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
43,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-125,1999,10,10,799,8.9,2,0,2,2,0,0,1,0,0.7,0.7,0.9,1.5,17,16,69,0.23,0.00,0.23,0.23,0.23,0.07,0.10,0.17,0.07,0.17,Matches
44,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28-274,1996,10,3,325,3.6,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.5,8,24,2,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.14,0.12,0.14,Matches
45,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-133,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28-306,1996,15,15,1279,14.2,0,0,0,0,0,0,3,0,2.0,2.0,0.1,2.1,14,47,0,0.00,0.00,0.00,0.00,0.00,0.14,0.01,0.15,0.14,0.15,Matches
47,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,31-279,1993,6,3,279,3.1,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.8,2,14,29,0.00,0.32,0.32,0.00,0.32,0.05,0.22,0.27,0.05,0.27,Matches
48,Naouirou Ahamada,fr FRA,FW,Rennes,fr Ligue 1,22-307,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Honest Ahanor,it ITA,DF,Genoa,it Serie A,16-342,2008,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
50,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,23-108,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
51,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30-316,1994,18,18,1348,15.0,2,0,2,2,0,0,4,0,1.4,1.4,0.2,1.6,14,51,11,0.13,0.00,0.13,0.13,0.13,0.09,0.02,0.11,0.09,0.11,Matches
52,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-123,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
53,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19-219,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,5,8,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
54,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-114,1996,23,23,1991,22.1,2,1,3,2,0,0,2,0,0.6,0.6,0.6,1.1,44,78,40,0.09,0.05,0.14,0.09,0.14,0.03,0.03,0.05,0.03,0.05,Matches
55,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-238,2001,22,22,1881,20.9,3,5,8,3,0,0,6,1,1.6,1.6,2.3,3.8,52,73,102,0.14,0.24,0.38,0.14,0.38,0.08,0.11,0.18,0.08,0.18,Matches
56,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26-288,1998,10,9,717,8.0,0,0,0,0,0,0,3,0,0.5,0.5,0.7,1.2,15,27,16,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,Matches
57,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30-340,1994,17,15,1303,14.5,7,1,8,7,0,1,4,0,4.1,3.3,2.1,5.4,5,26,69,0.48,0.07,0.55,0.48,0.55,0.28,0.14,0.43,0.23,0.37,Matches
58,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-195,1995,19,19,1617,18.0,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,36,125,6,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
59,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-116,2003,4,4,296,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,21,6,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
60,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29-347,1995,9,7,602,6.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,11,39,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
