Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1286,George Hirst,eng ENG,FW,Ipswich Town,eng Premier League,25-350,1999,11,217,20,10.5,2.4,1,72,0,10,15,0,0.64,4,4,0,0.00,+1.26,2.9,6.5,-3.6,-1.51,-0.39,Matches
1287,Adam Hložek,cz CZE,"FW,MF",Hoffenheim,de Bundesliga,22-189,2002,18,1309,73,76.5,14.5,16,80,9,2,16,0,1.00,21,26,-5,-0.34,+1.23,21.3,23.0,-1.7,-0.12,+1.33,Matches
1288,Ki-Jana Hoever,nl NED,DF,Auxerre,fr Ligue 1,23-012,2002,16,1125,70,65.8,12.5,14,77,4,2,24,1,1.19,19,17,+2,+0.16,+1.08,16.1,19.6,-3.5,-0.28,+0.92,Matches
1289,Nicolas Höfler,de GER,MF,Freiburg,de Bundesliga,34-327,1990,13,575,44,33.6,6.4,5,84,4,8,19,6,1.15,8,11,-3,-0.47,+0.09,8.9,8.5,+0.4,+0.06,+0.23,Matches
1290,Jonas Hofmann,de GER,"MF,DF",Leverkusen,de Bundesliga,32-200,1992,5,233,47,13.6,2.6,3,62,0,2,24,8,1.80,5,3,+2,+0.77,-0.32,4.4,2.7,+1.7,+0.66,-0.24,Matches
1291,Philipp Hofmann,de GER,FW,Bochum,de Bundesliga,31-306,1993,19,1301,68,76.1,14.5,15,84,7,4,12,0,0.63,12,27,-15,-1.04,+0.94,15.9,26.9,-11.0,-0.76,+0.60,Matches
1292,Rob Holding,eng ENG,DF,Crystal Palace,eng Premier League,29-132,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1293,Lucas Höler,de GER,"FW,MF",Freiburg,de Bundesliga,30-204,1994,17,800,47,46.8,8.9,8,81,2,9,17,2,1.35,13,21,-8,-0.90,-0.70,10.2,13.8,-3.6,-0.40,-0.59,Matches
1294,Mason Holgate,eng ENG,"FW,DF",Everton,eng Premier League,28-100,1996,1,6,6,0.3,0.1,0,,0,1,6,1,0.00,0,1,-1,-15.00,-14.64,0.0,0.1,-0.1,-1.02,-0.67,Matches
1295,Benedict Hollerbach,de GER,"MF,FW",Union Berlin,de Bundesliga,23-258,2001,19,1435,76,83.9,15.9,18,77,6,1,45,0,1.00,14,24,-10,-0.63,+0.35,18.9,20.0,-1.1,-0.07,+0.69,Matches
1296,Emil Holm,se SWE,DF,Bologna,it Serie A,24-262,2000,13,743,57,39.3,8.3,8,85,3,5,13,6,1.46,14,10,+4,+0.48,+0.33,12.0,7.2,+4.9,+0.59,+0.54,Matches
1297,Lewis Holtby,de GER,MF,Holstein Kiel,de Bundesliga,34-134,1990,14,769,55,45.0,8.5,9,72,1,5,23,0,0.57,10,28,-18,-2.11,-1.92,11.5,17.7,-6.3,-0.73,-0.26,Matches
1298,Gerrit Holtmann,ph PHI,"DF,FW",Bochum,de Bundesliga,29-311,1995,11,525,48,30.7,5.8,5,67,1,6,32,1,0.73,7,10,-3,-0.51,+1.08,9.5,10.5,-1.0,-0.17,+1.06,Matches
1299,Franck Honorat,fr FRA,FW,Gladbach,de Bundesliga,28-172,1996,12,984,82,57.5,10.9,12,82,1,0,,0,1.75,23,15,+8,+0.73,+1.60,19.4,16.7,+2.7,+0.25,+1.33,Matches
1300,Mathias Honsak,at AUT,"FW,DF",Heidenheim,de Bundesliga,28-041,1996,12,585,49,34.2,6.5,6,76,2,6,22,0,0.50,7,19,-12,-1.85,-1.53,9.2,15.5,-6.4,-0.99,-0.98,Matches
1301,Dinko Horkaš,hr CRO,GK,Las Palmas,es La Liga,25-326,1999,3,211,70,11.2,2.3,2,90,2,1,31,16,0.00,1,5,-4,-1.71,-1.49,2.2,4.1,-1.9,-0.80,+0.15,Matches
1302,Timo Horn,de GER,GK,Bochum,de Bundesliga,31-263,1993,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches
1303,Krisztofer Horváth,hu HUN,MF,Torino,it Serie A,23-022,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1304,Cédric Hountondji,bj BEN,DF,Angers,fr Ligue 1,31-011,1994,3,270,90,15.8,3.0,3,90,3,0,,8,0.00,1,7,-6,-2.00,-1.94,2.4,4.3,-1.9,-0.65,-0.46,Matches
1305,Ilyes Housni,fr FRA,"FW,MF",Le Havre,fr Ligue 1,19-261,2005,6,208,35,12.2,2.3,3,61,0,3,8,8,0.00,1,6,-5,-2.16,-1.02,1.6,3.1,-1.5,-0.63,+0.20,Matches
1306,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,35-067,1989,17,1530,90,89.5,17.0,17,90,17,0,,1,2.29,43,23,+20,+1.18,+1.18,32.5,18.1,+14.3,+0.84,-0.22,Matches
1307,Robin Hranáč,cz CZE,DF,Hoffenheim,de Bundesliga,25-001,2000,3,147,49,8.6,1.6,1,45,0,2,51,9,0.00,2,4,-2,-1.22,-0.65,4.0,2.3,+1.8,+1.09,+1.67,Matches
1308,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,eng Premier League,24-084,2000,20,1525,76,73.7,16.9,18,81,4,2,36,1,2.05,30,13,+17,+1.00,+2.82,21.6,15.3,+6.3,+0.37,+0.96,Matches
1309,Will Hughes,eng ENG,MF,Crystal Palace,eng Premier League,29-288,1995,20,1323,66,63.9,14.7,15,77,2,5,34,0,1.30,20,19,+1,+0.07,+0.67,21.9,20.5,+1.3,+0.09,+0.26,Matches
1310,Dean Huijsen,es ESP,DF,Bournemouth,eng Premier League,19-291,2005,17,1154,68,55.7,12.8,12,90,12,5,15,6,1.88,26,11,+15,+1.17,+1.17,26.0,17.5,+8.4,+0.66,-0.02,Matches
1311,Mats Hummels,de GER,DF,Roma,it Serie A,36-045,1988,9,599,67,30.3,6.7,7,76,2,2,35,9,1.56,15,8,+7,+1.05,+1.18,11.2,7.0,+4.2,+0.63,+0.61,Matches
1312,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,eng Premier League,21-092,2003,21,1775,85,85.7,19.7,21,85,11,0,,0,0.71,15,38,-23,-1.17,-0.25,16.5,37.9,-21.4,-1.08,+0.49,Matches
1313,Jannik Huth,de GER,GK,Freiburg,de Bundesliga,30-290,1994,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
1314,Elseid Hysaj,al ALB,DF,Lazio,it Serie A,30-345,1994,5,143,29,7.2,1.6,1,90,1,4,13,2,1.00,5,0,+5,+3.15,+3.00,3.4,1.7,+1.6,+1.03,+0.65,Matches
1315,Hong Hyunseok,kr KOR,MF,Mainz 05,de Bundesliga,25-228,1999,15,394,26,23.0,4.4,4,55,0,11,16,3,1.80,7,8,-1,-0.23,-0.98,5.7,7.8,-2.0,-0.46,-0.63,Matches
1316,Pierre Højbjerg,dk DEN,MF,Marseille,fr Ligue 1,29-178,1995,18,1615,90,94.4,17.9,18,90,17,0,,0,1.89,35,21,+14,+0.78,-2.06,28.3,25.4,+2.8,+0.16,-1.71,Matches
1317,Oscar Højlund,dk DEN,MF,Eint Frankfurt,de Bundesliga,20-026,2005,8,190,24,11.1,2.1,1,60,0,7,19,0,1.63,4,4,0,0.00,-1.07,4.4,2.0,+2.4,+1.15,+0.79,Matches
1318,Rasmus Højlund,dk DEN,FW,Manchester Utd,eng Premier League,21-361,2003,18,1089,61,52.6,12.1,13,76,3,5,20,1,1.11,10,19,-9,-0.74,-1.20,13.2,17.8,-4.5,-0.38,-0.69,Matches
1319,Gennaro Iaccarino,it ITA,MF,Napoli,it Serie A,21-213,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1320,Pablo Ibáñez,es ESP,MF,Osasuna,es La Liga,26-132,1998,17,693,41,36.7,7.7,6,76,3,11,21,4,1.41,6,14,-8,-1.04,-1.26,7.9,10.9,-3.0,-0.38,-0.13,Matches
1321,Hafiz Ibrahim,ng NGA,FW,Reims,fr Ligue 1,19-041,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1322,Arijon Ibrahimović,de GER,FW,Lazio,it Serie A,19-050,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1323,Arijon Ibrahimović,de GER,FW,Bayern Munich,de Bundesliga,19-050,2005,1,1,1,0.1,0.0,0,,0,1,1,5,3.00,0,0,0,0.00,-2.21,0.0,0.0,0.0,0.00,-1.85,Matches
1324,Stanis Idumbo,be BEL,"FW,MF",Sevilla,es La Liga,19-215,2005,8,232,29,12.3,2.6,3,50,0,5,16,11,1.25,6,6,0,0.00,+0.33,3.6,4.4,-0.8,-0.31,-0.17,Matches
1325,Jay Idzes,id IDN,DF,Venezia,it Serie A,24-242,2000,20,1777,89,89.7,19.7,20,89,19,0,,0,0.65,16,30,-14,-0.71,-0.27,17.0,32.4,-15.4,-0.78,-0.78,Matches
1326,Iglesias,es ESP,DF,Getafe,es La Liga,26-211,1998,21,1607,77,85.0,17.9,17,87,16,4,31,0,1.10,13,16,-3,-0.17,-1.12,15.9,22.5,-6.6,-0.37,-0.87,Matches
1327,Borja Iglesias,es ESP,FW,Celta Vigo,es La Liga,32-013,1993,21,1140,54,60.3,12.7,14,70,1,7,23,0,1.19,16,19,-3,-0.24,-0.24,15.5,14.0,+1.5,+0.12,-0.33,Matches
1328,Igor,br BRA,DF,Brighton,eng Premier League,26-358,1998,12,903,75,43.6,10.0,9,87,8,3,39,7,1.42,16,16,0,0.00,-0.31,14.2,15.4,-1.1,-0.11,-0.08,Matches
1329,Kelechi Iheanacho,ng NGA,FW,Sevilla,es La Liga,28-119,1996,9,400,44,21.2,4.4,5,59,0,4,26,9,0.89,2,6,-4,-0.90,-0.78,4.2,4.5,-0.3,-0.07,+0.11,Matches
1330,Jonathan Ikone,fr FRA,"FW,MF",Fiorentina,it Serie A,26-273,1998,14,334,24,17.7,3.7,1,55,0,13,21,4,1.57,7,0,+7,+1.89,+1.54,5.9,3.1,+2.8,+0.75,+0.43,Matches
1331,George Ilenikhena,fr FRA,FW,Monaco,fr Ligue 1,18-167,2006,16,548,34,32.0,6.1,5,64,0,11,21,0,1.88,13,5,+8,+1.31,+1.16,13.3,4.4,+8.9,+1.46,+0.58,Matches
1332,Andrej Ilic,rs SRB,FW,Lille,fr Ligue 1,24-302,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1333,Andrej Ilic,rs SRB,"FW,MF",Union Berlin,de Bundesliga,24-302,2000,2,53,27,3.1,0.6,0,,0,2,27,0,0.00,0,1,-1,-1.70,-1.05,0.4,0.7,-0.3,-0.56,-0.40,Matches
1334,Ivan Ilić,rs SRB,MF,Torino,it Serie A,23-319,2001,12,716,60,36.2,8.0,8,74,3,4,32,1,1.08,12,9,+3,+0.38,+0.80,9.8,12.8,-3.0,-0.38,-0.11,Matches
1335,Mihajlo Ilić,rs SRB,DF,Bologna,it Serie A,21-240,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
1336,Rareş Ilie,ro ROU,MF,Nice,fr Ligue 1,21-286,2003,2,13,7,0.8,0.1,0,,0,2,7,5,0.50,0,0,0,0.00,-0.69,0.5,0.6,-0.1,-0.51,-1.11,Matches
1337,Samuel Iling-Junior,eng ENG,"FW,MF",Bologna,it Serie A,21-118,2003,7,118,17,6.2,1.3,0,,0,7,17,11,1.57,3,2,+1,+0.76,+0.51,1.4,1.7,-0.2,-0.19,-0.48,Matches
1338,Gino Infantino,ar ARG,MF,Fiorentina,it Serie A,21-256,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1339,Danny Ings,eng ENG,"FW,MF",West Ham,eng Premier League,32-191,1992,13,263,20,12.7,2.9,1,45,0,12,18,9,1.23,4,4,0,0.00,+0.80,7.4,4.5,+2.9,+1.00,+1.61,Matches
1340,Alessio Iovine,it ITA,"DF,FW",Como,it Serie A,33-364,1991,8,371,46,18.7,4.1,3,75,2,5,29,13,1.00,6,7,-1,-0.24,+0.20,5.5,4.0,+1.5,+0.36,+0.27,Matches
1341,Paris Irie,fr FRA,DF,Brest,fr Ligue 1,18-295,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1342,Tim Iroegbunam,eng ENG,MF,Everton,eng Premier League,21-214,2003,6,383,64,19.3,4.3,4,88,3,2,17,1,0.33,4,13,-9,-2.11,-2.11,4.2,8.5,-4.3,-1.01,-0.82,Matches
1343,Jackson Irvine,au AUS,MF,St. Pauli,de Bundesliga,31-329,1993,19,1710,90,100.0,19.0,19,90,19,0,,0,1.05,17,21,-4,-0.21,,21.3,25.2,-3.9,-0.21,,Matches
1344,Andy Irving,sct SCO,MF,West Ham,eng Premier League,24-262,2000,8,89,11,4.3,1.0,0,,0,8,11,10,1.00,0,2,-2,-2.02,-1.39,1.4,2.9,-1.5,-1.47,-1.11,Matches
1345,Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,25-131,1999,21,1709,81,82.6,19.0,21,81,12,0,,0,1.86,37,25,+12,+0.63,+0.13,34.8,22.9,+11.9,+0.63,+0.43,Matches
1346,Gustav Isaksen,dk DEN,FW,Lazio,it Serie A,23-286,2001,22,1204,55,60.8,13.4,16,64,0,6,30,0,1.77,23,20,+3,+0.22,-0.36,18.9,15.3,+3.6,+0.27,-0.38,Matches
1347,Isco,es ESP,MF,Betis,es La Liga,32-284,1992,6,367,61,19.4,4.1,4,84,3,2,16,0,1.33,4,6,-2,-0.49,-0.43,3.3,5.5,-2.3,-0.56,-0.83,Matches
1348,Ismaily,br BRA,DF,Lille,fr Ligue 1,35-019,1990,5,254,51,14.9,2.8,3,80,1,2,8,4,2.20,3,1,+2,+0.71,+0.21,4.1,3.4,+0.7,+0.24,-0.09,Matches
1349,Ardian Ismajli,al ALB,DF,Empoli,it Serie A,28-122,1996,22,1910,87,96.5,21.2,22,87,21,0,,0,0.95,20,28,-8,-0.38,-0.38,16.6,28.4,-11.8,-0.56,-1.68,Matches
1350,Yanis Issoufou,fr FRA,"MF,FW",Montpellier,fr Ligue 1,18-094,2006,4,77,19,4.5,0.9,1,26,0,3,17,4,0.75,0,3,-3,-3.51,-2.35,0.6,2.8,-2.2,-2.57,-1.86,Matches
1351,Ko Itakura,jp JPN,DF,Gladbach,de Bundesliga,28-003,1997,18,1620,90,94.7,18.0,18,90,18,0,,0,1.33,27,29,-2,-0.11,-3.11,27.1,34.7,-7.7,-0.43,-2.14,Matches
1352,Junya Ito,jp JPN,FW,Reims,fr Ligue 1,31-327,1993,19,1669,88,97.6,18.5,19,88,12,0,,0,1.16,24,25,-1,-0.05,+2.14,21.3,28.5,-7.1,-0.39,-0.95,Matches
1353,Alejandro Iturbe,es ESP,GK,Atlético Madrid,es La Liga,21-150,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1354,Diego Iturralde,es ESP,DF,Sevilla,es La Liga,21-289,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1355,Daniel Iversen,dk DEN,GK,Leicester City,eng Premier League,27-195,1997,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
1356,Marko Ivezić,rs SRB,DF,Holstein Kiel,de Bundesliga,23-059,2001,12,1080,90,63.2,12.0,12,90,12,0,,7,0.58,15,27,-12,-1.00,+0.14,12.9,21.0,-8.1,-0.67,-0.23,Matches
1357,Alex Iwobi,ng NGA,"FW,MF",Fulham,eng Premier League,28-272,1996,23,1938,84,93.6,21.5,23,84,12,0,,0,1.43,28,27,+1,+0.05,-1.32,27.3,24.2,+3.1,+0.15,-1.50,Matches
1358,Armando Izzo,it ITA,DF,Monza,it Serie A,32-334,1992,20,1659,83,83.8,18.4,19,87,15,1,8,1,0.60,18,28,-10,-0.54,+0.30,15.4,24.5,-9.1,-0.49,-0.16,Matches
1359,Fellipe Jack,br BRA,DF,Como,it Serie A,19-018,2006,3,107,36,5.4,1.2,0,,0,3,36,13,1.00,3,2,+1,+0.84,+1.32,2.0,1.5,+0.4,+0.34,+0.22,Matches
1360,Nicolas Jackson,sn SEN,FW,Chelsea,eng Premier League,23-224,2001,22,1685,77,81.4,18.7,21,79,5,1,36,1,1.68,36,18,+18,+0.96,+1.66,34.8,23.7,+11.1,+0.59,-0.09,Matches
1361,Lee Jae-sung,kr KOR,MF,Mainz 05,de Bundesliga,32-173,1992,18,1510,84,88.3,16.8,18,84,9,0,,0,1.56,29,19,+10,+0.60,+0.60,24.8,22.0,+2.8,+0.17,+1.22,Matches
1362,Paul Jaeckel,de GER,DF,Union Berlin,de Bundesliga,26-192,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1363,Kristijan Jakić,hr CRO,MF,Augsburg,de Bundesliga,27-261,1997,16,1273,80,74.4,14.1,15,84,12,1,17,0,1.31,18,23,-5,-0.35,+0.88,15.3,16.9,-1.5,-0.11,+0.94,Matches
1364,Karl Jakob Hein,ee EST,GK,Valladolid,es La Liga,22-292,2002,21,1890,90,100.0,21.0,21,90,21,0,,0,0.71,14,42,-28,-1.33,,18.6,35.4,-16.8,-0.80,,Matches
1365,Ismail Jakobs,sn SEN,DF,Monaco,fr Ligue 1,25-166,1999,2,180,90,10.5,2.0,2,90,2,0,,0,3.00,3,0,+3,+1.50,+1.09,4.2,0.5,+3.7,+1.86,+0.89,Matches
1366,Jordan James,wls WAL,MF,Rennes,fr Ligue 1,20-212,2004,11,594,54,34.7,6.6,7,74,2,4,19,6,0.91,10,10,0,0.00,+0.32,9.9,6.8,+3.1,+0.47,+0.81,Matches
1367,Reece James,eng ENG,DF,Chelsea,eng Premier League,25-053,1999,7,424,61,20.5,4.7,5,76,2,2,22,2,1.29,9,8,+1,+0.21,-0.55,8.5,8.8,-0.3,-0.06,-0.84,Matches
1368,Vitaly Janelt,de GER,MF,Brentford,eng Premier League,26-265,1998,22,1653,75,79.9,18.4,19,82,9,3,32,0,1.27,30,32,-2,-0.11,-0.97,27.5,29.6,-2.1,-0.12,-0.11,Matches
1369,Luka Janes,de GER,MF,Heidenheim,de Bundesliga,21-011,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1370,Jakub Jankto,cz CZE,MF,Cagliari,it Serie A,29-011,1996,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
1371,Adnan Januzaj,be BEL,"MF,FW",Las Palmas,es La Liga,29-360,1995,8,315,39,16.7,3.5,3,77,1,5,17,3,1.00,6,3,+3,+0.86,+1.49,4.4,6.2,-1.8,-0.51,+0.51,Matches
1372,Vitezslav Jaros,cz CZE,GK,Liverpool,eng Premier League,23-191,2001,1,12,12,0.6,0.1,0,,0,1,12,8,3.00,0,0,0,0.00,-1.51,0.1,0.1,0.0,-0.16,-1.63,Matches
1373,Ali Jasim,iq IRQ,"FW,DF",Como,it Serie A,21-010,2004,2,10,5,0.5,0.1,0,,0,2,5,9,1.50,0,1,-1,-9.00,-8.63,0.7,0.2,+0.5,+4.59,+4.48,Matches
1374,Nuha Jatta,gm GAM,MF,RB Leipzig,de Bundesliga,18-321,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
1375,Noah Jauny,ie IRL,GK,Brest,fr Ligue 1,20-157,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1376,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,21-079,2003,18,1075,60,56.9,11.9,12,76,7,6,28,1,1.94,17,11,+6,+0.50,-0.27,14.5,12.3,+2.2,+0.18,-0.67,Matches
1377,Dominik Javorček,sk SVK,DF,Holstein Kiel,de Bundesliga,22-089,2002,8,194,24,11.3,2.2,2,62,0,6,12,8,0.88,6,7,-1,-0.46,+0.66,3.8,5.1,-1.3,-0.61,-0.03,Matches
1378,Alejandro Jay Agustín,es ESP,MF,Alavés,es La Liga,22-207,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1379,Gaby Jean,fr FRA,DF,Lecce,it Serie A,24-346,2000,11,748,68,37.8,8.3,8,87,6,3,18,9,1.18,9,16,-7,-0.84,+0.47,7.1,14.1,-7.0,-0.85,-0.37,Matches
1380,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,eng Premier League,21-170,2003,5,48,10,2.3,0.5,0,,0,5,10,0,1.80,4,1,+3,+5.63,+5.09,1.4,1.0,+0.4,+0.76,+0.10,Matches
1381,Fredrik Jensen,fi FIN,"MF,DF",Augsburg,de Bundesliga,27-143,1997,8,153,19,8.9,1.7,1,45,0,7,15,0,1.25,1,2,-1,-0.59,-0.01,1.5,3.3,-1.8,-1.06,-0.78,Matches
1382,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,29-029,1996,13,679,52,32.8,7.5,8,73,2,5,19,0,1.77,16,13,+3,+0.40,+0.46,13.9,12.1,+1.7,+0.23,+0.48,Matches
1383,Moritz Jenz,de GER,DF,Mainz 05,de Bundesliga,25-275,1999,9,724,80,42.3,8.0,8,90,7,1,5,3,1.78,12,10,+2,+0.25,-0.48,9.0,11.0,-2.0,-0.25,-0.47,Matches
1384,Niklas Jessen,de GER,MF,Dortmund,de Bundesliga,21-148,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1385,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,27-302,1997,17,608,36,29.4,6.8,6,81,2,11,11,1,1.94,15,5,+10,+1.48,+0.68,11.4,5.7,+5.7,+0.85,+0.14,Matches
1386,Juan Jesus,br BRA,DF,Napoli,it Serie A,33-234,1991,7,618,88,31.2,6.9,7,88,6,0,,15,2.57,13,6,+7,+1.02,+0.03,9.8,4.8,+5.0,+0.72,+0.10,Matches
1387,Alejandro Jiménez,es ESP,"FW,DF",Milan,it Serie A,19-267,2005,6,371,62,19.6,4.1,3,90,3,3,34,6,1.50,4,3,+1,+0.24,-0.23,5.9,3.4,+2.5,+0.61,-0.03,Matches
1388,David Jiménez,es ESP,DF,Real Madrid,es La Liga,20-322,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1389,Raúl Jiménez,mx MEX,FW,Fulham,eng Premier League,33-270,1991,23,1450,63,70.0,16.1,18,76,3,5,15,0,1.43,20,20,0,0.00,-0.44,22.9,18.6,+4.3,+0.27,+0.09,Matches
1390,Raúl Jiménez,es ESP,GK,Valencia,es La Liga,18-349,2006,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
1391,Jamaldeen Jimoh,eng ENG,MF,Aston Villa,eng Premier League,18-120,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1392,Kim Jisoo,kr KOR,DF,Brentford,eng Premier League,20-037,2004,2,29,15,1.4,0.3,0,,0,2,15,8,0.50,0,0,0,0.00,-0.09,0.0,0.3,-0.3,-0.79,-0.70,Matches
1393,Pere Joan,es ESP,GK,Mallorca,es La Liga,22-314,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
1394,João Pedro,br BRA,"FW,MF",Brighton,eng Premier League,23-126,2001,17,1295,76,62.6,14.4,15,83,8,2,23,0,1.53,21,14,+7,+0.49,+0.83,20.2,16.9,+3.3,+0.23,+0.80,Matches
1395,John Joe,ie IRL,"MF,FW",Getafe,es La Liga,21-098,2003,4,48,12,2.5,0.5,0,,0,4,12,5,1.00,0,0,0,0.00,0.00,0.4,2.1,-1.6,-3.07,-2.91,Matches
1396,John Joe,ie IRL,MF,Reims,fr Ligue 1,21-098,2003,1,67,67,3.9,0.7,1,67,0,0,,1,1.00,1,1,0,0.00,+0.11,0.8,0.7,+0.1,+0.17,+0.56,Matches
1397,Joelinton,br BRA,"MF,FW",Newcastle Utd,eng Premier League,28-169,1996,22,1851,84,89.4,20.6,22,84,15,0,,0,1.73,34,25,+9,+0.44,-1.62,35.7,24.1,+11.6,+0.57,+0.14,Matches
1398,Jofre,es ESP,"MF,FW",Espanyol,es La Liga,23-227,2001,20,1299,65,68.7,14.4,16,76,3,4,20,0,0.95,16,27,-11,-0.76,-0.46,12.8,26.5,-13.7,-0.95,-0.65,Matches
1399,Þórir Jóhann Helgason,is ISL,MF,Lecce,it Serie A,24-124,2000,6,257,43,13.0,2.9,3,68,1,3,18,6,1.67,3,6,-3,-1.05,+0.10,2.8,4.3,-1.4,-0.50,+0.13,Matches
1400,Carl Johansson,se SWE,DF,Holstein Kiel,de Bundesliga,30-252,1994,5,365,73,21.3,4.1,4,87,3,1,18,2,0.80,6,14,-8,-1.97,-1.17,5.1,8.0,-2.9,-0.71,-0.16,Matches
1401,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,eng Premier League,25-006,2000,14,828,59,40.0,9.2,8,87,6,6,22,5,0.86,11,25,-14,-1.52,-0.65,8.2,23.8,-15.7,-1.70,-0.91,Matches
1402,Brennan Johnson,wls WAL,FW,Tottenham,eng Premier League,23-252,2001,21,1492,71,72.1,16.6,16,81,9,5,39,0,1.14,30,21,+9,+0.54,+0.54,27.9,25.6,+2.4,+0.14,+0.46,Matches
1403,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-002,1990,3,270,90,15.8,3.0,3,90,3,0,,16,1.33,7,6,+1,+0.33,+0.27,4.3,5.3,-1.0,-0.32,+0.08,Matches
1404,Sam Johnstone,eng ENG,GK,Crystal Palace,eng Premier League,31-311,1993,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1405,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,31-311,1993,7,630,90,30.4,7.0,7,90,7,0,,10,0.14,9,17,-8,-1.14,-0.39,6.9,13.1,-6.2,-0.89,-0.34,Matches
1406,Paul Joly,fr FRA,DF,Auxerre,fr Ligue 1,24-237,2000,13,652,50,38.1,7.2,7,76,2,6,20,1,0.77,6,12,-6,-0.83,-1.00,6.8,13.5,-6.7,-0.93,-0.54,Matches
1407,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,24-000,2001,18,896,50,45.3,10.0,10,75,1,8,18,1,2.28,23,13,+10,+1.00,-0.91,18.6,10.6,+7.9,+0.79,-1.22,Matches
1408,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,27-263,1997,10,357,36,18.9,4.0,2,61,0,8,29,3,1.80,16,8,+8,+2.02,+0.43,13.1,7.2,+5.8,+1.47,+0.16,Matches
1409,Joan Jordán,es ESP,MF,Alavés,es La Liga,30-208,1994,12,642,54,34.0,7.1,6,80,4,6,28,3,0.58,10,13,-3,-0.42,-0.06,8.3,10.5,-2.2,-0.31,-0.25,Matches
1410,Jorginho,it ITA,MF,Arsenal,eng Premier League,33-041,1991,10,459,46,22.2,5.1,6,70,2,4,10,13,2.10,10,5,+5,+0.98,-0.03,9.8,4.2,+5.6,+1.10,+0.45,Matches
1411,Jesse Joronen,fi FIN,GK,Venezia,it Serie A,31-315,1993,7,630,90,31.8,7.0,7,90,7,0,,13,0.57,5,12,-7,-1.00,-0.47,6.6,11.0,-4.5,-0.64,+0.09,Matches
1412,Jota,pt POR,"FW,MF",Rennes,fr Ligue 1,25-306,1999,9,334,37,19.5,3.7,3,73,0,6,19,2,1.44,3,5,-2,-0.54,-0.41,5.2,3.7,+1.5,+0.42,+0.59,Matches
1413,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,28-057,1996,13,629,48,31.8,7.0,7,70,2,6,23,1,2.31,17,4,+13,+1.86,+0.53,17.1,5.1,+12.0,+1.71,+0.37,Matches
1414,Antoine Joujou,fr FRA,"MF,FW",Le Havre,fr Ligue 1,21-324,2003,14,584,42,34.2,6.5,5,78,2,9,22,2,0.50,7,12,-5,-0.77,+0.75,8.3,11.8,-3.5,-0.54,+0.40,Matches
1415,Luka Jović,rs SRB,FW,Milan,it Serie A,27-038,1997,5,104,21,5.5,1.2,1,59,0,4,11,2,1.40,2,2,0,0.00,-0.45,2.9,1.7,+1.2,+1.07,+0.46,Matches
