Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
67,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29-286,1995,14.8,1020,156,479,491,55,2,1020,11,6,54.5,5,45.5,545,2203,1014,8,8,0,6,3,621,11,Matches
68,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-220,1992,0.4,34,3,15,18,1,0,34,0,0,,0,,21,121,90,1,0,0,0,0,31,0,Matches
69,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34-313,1990,0.7,43,0,2,17,25,8,43,3,2,66.7,0,0.0,24,129,18,1,0,0,4,6,40,6,Matches
70,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-148,1985,13.2,915,157,533,369,14,3,915,0,0,,0,,515,2347,1226,3,1,0,3,1,652,0,Matches
71,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-061,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1,Matches
72,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-035,1996,19.8,982,112,402,506,81,25,982,14,7,50.0,7,50.0,405,2899,1907,22,17,2,17,6,402,4,Matches
73,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,27-025,1998,4.9,151,5,26,75,53,10,151,4,3,75.0,1,25.0,80,394,159,3,2,1,3,6,88,9,Matches
74,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-115,1998,18.5,1549,60,388,659,510,31,1549,21,9,42.9,11,52.4,817,3954,2105,41,29,7,16,13,993,75,Matches
75,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25-271,1999,4.8,180,1,17,46,122,37,180,18,9,50.0,9,50.0,128,1077,682,33,17,12,10,7,138,49,Matches
76,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21-011,2004,10.7,411,7,41,171,209,44,411,43,10,23.3,28,65.1,261,1785,952,39,21,18,39,17,317,83,Matches
77,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23-196,2001,0.8,31,2,5,11,17,0,31,4,2,50.0,2,50.0,17,98,44,1,3,0,1,1,19,2,Matches
78,Alisson,br BRA,GK,Liverpool,eng Premier League,32-120,1992,13.9,444,309,433,11,0,0,444,1,1,100.0,0,0.0,292,1117,661,0,0,0,0,0,274,0,Matches
