Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
106,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,28-162,1996,2.0,4,2.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28-244,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28-244,1996,13.7,9,0.66,5,1,0,3,0,0,1,0.07,0,1,0,0,0,0,Matches
109,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-085,2002,16.3,62,3.80,28,16,7,6,2,3,9,0.55,3,3,0,1,1,1,Matches
110,André,br BRA,MF,Wolves,eng Premier League,23-198,2001,13.6,23,1.69,18,3,0,0,0,2,2,0.15,1,1,0,0,0,0,Matches
111,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34-180,1990,16.9,31,1.83,27,0,0,2,2,0,5,0.30,2,0,0,2,1,0,Matches
112,Marcos André,br BRA,FW,Valladolid,es La Liga,28-102,1996,8.6,11,1.27,8,0,2,0,1,0,1,0.12,1,0,0,0,0,0,Matches
113,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,30-130,1994,11.8,23,1.95,17,0,1,3,1,1,3,0.25,3,0,0,0,0,0,Matches
114,Angeliño,es ESP,DF,Roma,it Serie A,28-026,1997,21.0,51,2.43,42,9,0,0,0,0,5,0.24,5,0,0,0,0,0,Matches
115,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19-339,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,23-068,2001,10.4,30,2.89,23,1,3,1,1,1,5,0.48,4,0,0,0,0,1,Matches
117,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28-194,1996,10.7,24,2.26,23,0,0,1,0,0,3,0.28,3,0,0,0,0,0,Matches
118,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,22-017,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
119,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34-308,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches
120,Antoniu,es ESP,MF,Espanyol,es La Liga,22-147,2002,4.3,15,3.50,9,0,3,0,2,1,1,0.23,1,0,0,0,0,0,Matches
121,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,24-341,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
122,Anuar,ma MAR,"FW,MF",Valladolid,es La Liga,30-015,1995,9.6,12,1.25,7,0,2,0,3,0,3,0.31,0,0,2,0,1,0,Matches
123,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32-235,1992,15.3,25,1.63,21,3,1,0,0,0,3,0.20,2,1,0,0,0,0,Matches
124,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,26-365,1998,2.0,1,0.51,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
125,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29-122,1995,14.2,26,1.83,17,0,1,3,3,2,2,0.14,1,0,0,1,0,0,Matches
126,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22-191,2002,15.3,18,1.18,16,1,1,0,0,0,1,0.07,1,0,0,0,0,0,Matches
127,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,23-170,2001,3.9,2,0.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
128,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25-329,1999,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23-193,2001,11.6,13,1.12,6,0,3,3,1,0,0,0.00,0,0,0,0,0,0,Matches
130,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28-216,1996,16.2,25,1.55,22,1,1,0,0,1,1,0.06,1,0,0,0,0,0,Matches
131,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-338,1993,11.1,1,0.09,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
132,Adu Ares,es ESP,FW,Athletic Club,es La Liga,23-110,2001,0.2,1,4.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
133,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25-212,1999,19.0,38,2.00,31,5,1,0,1,0,3,0.16,3,0,0,0,0,0,Matches
134,David Argüelles,es ESP,MF,Getafe,es La Liga,23-029,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,Joe Aribo,ng NGA,MF,Southampton,eng Premier League,28-193,1996,15.3,31,2.03,27,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
136,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,27-355,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches
137,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,18-011,2007,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
